episode,step,obstacle_id,pos_x,pos_y,type
1,0,0,2.36961932858288,1.65,static
1,0,1,2.36961932858288,2.35,static
1,0,2,2.444974746830583,1.65,static
1,0,3,2.444974746830583,2.35,static
1,0,4,2.5338625232717544,1.65,static
1,0,5,2.533862523271755,2.35,static
1,0,6,2.6499999999999995,1.65,static
1,0,7,-499997.7,2.0,static
1,0,8,-490390.34020161524,-97543.16100806398,static
1,0,9,-461937.46625564346,-191339.71618254503,static
1,0,10,-415732.50615127245,-277783.1165098013,static
1,0,11,-353551.09059327375,-353551.39059327374,static
1,0,12,-277782.8165098011,-415732.80615127244,static
1,0,13,-191339.4161825448,-461937.76625564345,static
1,0,14,-97542.86100806398,-490390.6402016152,static
1,0,15,2.3,-499998.0,static
1,0,16,415737.1061512724,-277783.1165098013,static
1,0,17,461942.06625564344,-191339.7161825448,static
1,0,18,490394.9402016152,-97543.16100806421,static
1,0,19,500002.3,1.9999999997779554,static
1,0,20,490394.9402016152,97547.16100806398,static
1,0,21,461942.06625564344,191343.7161825448,static
1,0,22,415737.1061512724,277787.11650980107,static
1,0,23,353555.69059327396,353555.3905932735,static
1,0,24,2.300000000444089,500002.0,static
1,0,25,-97542.86100806398,490394.6402016152,static
1,0,26,-191339.41618254437,461941.76625564345,static
1,0,27,-277782.8165098011,415736.8061512729,static
1,0,28,-353551.0905932735,353555.390593274,static
1,0,29,-415732.50615127245,277787.11650980107,static
1,0,30,-461937.4662556433,191343.71618254526,static
1,0,31,-490390.34020161524,97547.16100806443,static
1,0,32,2.35,2.36961932858288,static
1,0,33,1.65,2.36961932858288,static
1,0,34,2.35,2.444974746830583,static
1,0,35,1.65,2.4449747468305834,static
1,0,36,2.35,2.5338625232717544,static
1,0,37,1.65,2.5338625232717544,static
1,0,38,2.35,2.6499999999999995,static
1,0,39,-499998.0,2.3,static
1,0,40,-490390.6402016152,-97542.86100806398,static
1,0,41,-461937.76625564345,-191339.4161825448,static
1,0,42,-415732.80615127244,-277782.8165098011,static
1,0,43,-353551.39059327374,-353551.09059327375,static
1,0,44,-277783.11650980107,-415732.50615127245,static
1,0,45,-191339.7161825448,-461937.46625564346,static
