episode,step,agent_id,true_dist_x,true_dist_y,eso_dist_x,eso_dist_y
1,0,0,0.0,-0.0,0.0,0.0
1,0,1,0.0,-0.0,0.0,0.0
1,0,2,0.0,-0.0,0.0,0.0
1,0,3,0.0,-0.0,0.0,0.0
1,0,4,0.0,-0.0,0.0,0.0
1,0,5,0.0,-0.0,0.0,0.0
1,0,0,0.0,-0.0,0.0,0.0
1,0,1,0.0,-0.0,0.0,0.0
1,0,2,0.0,-0.0,0.0,0.0
1,0,3,0.0,-0.0,0.0,0.0
1,0,4,0.0,-0.0,0.0,0.0
1,0,5,0.0,-0.0,0.0,0.0
1,1,0,3.0,-3.0,0.02849266955170582,0.03410600129832222
1,1,1,3.0,-3.0,-0.034073515103127776,0.035387754908694134
1,1,2,3.0,-3.0,0.031007934506969342,0.031739251404426204
1,1,3,3.0,-3.0,0.03214287183231926,-0.032799553216775454
1,1,4,3.0,-3.0,0.028448026145350393,0.026942056590054934
1,1,5,3.0,-3.0,0.03427833390257642,0.03389992837347566
1,1,0,3.0,-3.0,-0.03306173552378006,-0.024642609942919374
1,1,1,3.0,-3.0,0.03496849756333401,0.010778789180368134
1,1,2,3.0,-3.0,-0.013887547352325377,0.03285956398241893
1,1,3,3.0,-3.0,-0.032231194080280044,0.035214190629159474
1,1,4,3.0,-3.0,-0.0324100840609908,0.034013404041499426
1,1,5,3.0,-3.0,-0.034780434117649334,0.03216327327367126
1,2,0,3.0,-3.0,-0.09267756837235208,-0.11298171233831887
1,2,1,3.0,-3.0,0.11284129002984279,-0.11739912174474003
1,2,2,3.0,-3.0,-0.10066553901819933,-0.10333328429208397
1,2,3,3.0,-3.0,-0.10491092831953769,0.10754030584212987
1,2,4,3.0,-3.0,-0.09247983942912558,-0.08737851192531731
1,2,5,3.0,-3.0,-0.11371424043790507,-0.11211137509755567
1,2,0,3.0,-3.0,0.10861334034045071,0.07936980252082898
1,2,1,3.0,-3.0,-0.11640337078125385,-0.03441573534077482
1,2,2,3.0,-3.0,0.04434879387857923,-0.1077948594877692
1,2,3,3.0,-3.0,0.10525612374523331,-0.117085731314875
1,2,4,3.0,-3.0,0.10598052037177978,-0.11259425343880965
1,2,5,3.0,-3.0,0.11574186115305414,-0.10495127063945918
1,3,0,3.0,-3.0,0.04101495443576078,-0.4172589580596747
1,3,1,3.0,-3.0,0.41717304972975383,-0.41880455739901506
1,3,2,3.0,-3.0,0.021099770992077244,-0.408596304553571
1,3,3,3.0,-3.0,0.015099855198703022,-0.01247715274186137
1,3,4,3.0,-3.0,0.04127256621148839,-0.37403274630217526
1,3,5,3.0,-3.0,0.007738053798251487,-0.4166576169000775
1,3,0,3.0,-3.0,0.4139808413446361,-0.06484361518761173
1,3,1,3.0,-3.0,0.004843904246409708,-0.2766252574342085
1,3,2,3.0,-3.0,0.29488291567756375,-0.4132078721657756
1,3,3,3.0,-3.0,0.4107993844072656,-0.41908401077289337
1,3,4,3.0,-3.0,0.41147249949806053,-0.4169774824260083
1,3,5,3.0,-3.0,0.41903148180816946,-0.4106408413686478
1,4,0,3.0,-3.0,0.5254671937916878,-0.7087201394941245
1,4,1,3.0,-3.0,0.7087768544917485,-0.7024939494781246
1,4,2,3.0,-3.0,0.5301608763487211,-0.7116459732408831
1,4,3,3.0,-3.0,0.5329557959112508,-0.5345831923086792
1,4,4,3.0,-3.0,0.5245428971409998,-0.7129229282476888
1,4,5,3.0,-3.0,0.5384860795012066,-0.7090228111094673
1,4,0,3.0,-3.0,0.7101542142667208,-0.5248647634165823
1,4,1,3.0,-3.0,0.5393346900637338,-0.6868951366079376
1,4,2,3.0,-3.0,0.7030190706323821,-0.7104096877332235
1,4,3,3.0,-3.0,0.7111534069361092,-0.7044658882215097
1,4,4,3.0,-3.0,0.7109437683557187,-0.7088628807890796
1,4,5,3.0,-3.0,0.7073516568885707,-0.7112528874579627
1,5,0,3.0,-3.0,1.2009836675206105,-1.007822272336493
1,5,1,3.0,-3.0,1.0079385620992294,-0.994885997644674
1,5,2,3.0,-3.0,1.2225027261042172,-1.0168147115613475
1,5,3,3.0,-3.0,1.2299825604786008,-1.2335276487923634
1,5,4,3.0,-3.0,1.2007208003020997,-1.0400153811446
1,5,5,3.0,-3.0,1.241035411091344,-1.008583388055919
1,5,0,3.0,-3.0,1.0116691669265514,-1.1722892428367517
1,5,1,3.0,-3.0,1.2441372924615004,-1.1503844780781103
1,5,2,3.0,-3.0,1.1306511421966157,-1.0124441757503908
1,5,3,3.0,-3.0,1.0148447313795326,-0.9990918852057527
1,5,4,3.0,-3.0,1.0141494710781598,-1.0082001653950035
1,5,5,3.0,-3.0,1.0046981258170595,-1.0149609256529122
1,6,0,3.0,-3.0,1.33378181561846,-1.8117707659044076
1,6,1,3.0,-3.0,1.8812819048492462,-1.5717365383792066
1,6,2,3.0,-3.0,1.518947748973722,-1.3346949699657487
1,6,3,3.0,-3.0,1.3375287148246955,-1.3182137877344462
1,6,4,3.0,-3.0,1.3367160319023035,-1.3297676321007246
1,6,5,3.0,-3.0,1.3255659390980528,-1.3375321402618057
1,6,0,3.0,-3.0,1.8424756763792876,-1.32928405112968
1,6,1,3.0,-3.0,1.3294007471476996,-1.3122070989473367
1,6,2,3.0,-3.0,1.862617823020165,-1.3397576285088661
1,6,3,3.0,-3.0,1.868923529274864,-1.8720438810432634
