step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9764397144317627,Solved_To_Acceptable_Level,MPC,27,"[[-0.9036620071694599, 0.8961279743486007], [-0.02106252581266325, 0.04682536845566759], [0.00388467878559768, -0.0027545513718138367]]","[0.9701436161994934, 0.9697753190994263, 0.9697586297988892]"
1,0.9701561331748962,Solved_To_Acceptable_Level,MPC,17,"[[-0.6116918191693098, 0.598944911176366], [-0.006287118089580649, 0.012439826742218626], [0.003619963025008653, -0.0033946367702732236]]","[0.967457115650177, 0.9672795534133911, 0.9672208428382874]"
2,0.9689344763755798,Solve_Succeeded,MPC,7,"[[-0.03721607130827733, 0.03564936939688997], [0.0030119476979749986, -0.002564286831459411], [0.003832958553045954, -0.003615177731759006]]","[0.9663389921188354, 0.9662514328956604, 0.9661052227020264]"
3,0.9699996113777161,Solve_Succeeded,MPC,8,"[[-0.04763602019476497, 0.04865260973787713], [0.0029509830318327924, -0.002254037981299289], [0.0038915799636748526, -0.003674762913748169]]","[0.9662469625473022, 0.9660929441452026, 0.965791642665863]"
4,0.9713273644447327,Solve_Succeeded,MPC,17,"[[-0.25806733504594614, 0.256286290866127], [0.00012518590250842784, 0.0021168674947101996], [0.0038762208363465433, -0.0035355453714366234]]","[0.9663007259368896, 0.9660370349884033, 0.9655764102935791]"
5,0.9712530970573425,Solve_Succeeded,MPC,13,"[[-0.35208706499281034, 0.34998931932502486], [-0.0011670044742278487, 0.004333034939375662], [0.0037843756983183966, -0.0033476982012865105]]","[0.9663625359535217, 0.9660177826881409, 0.965413510799408]"
6,0.9702837467193604,Solved_To_Acceptable_Level,MPC,17,"[[-0.3330523981660476, 0.33262836663802636], [-0.0009581145249743196, 0.0037563745710352714], [0.003700957472605045, -0.0036925760588819765]]","[0.9662320017814636, 0.9657846093177795, 0.9649419188499451]"
7,0.9691213965415955,Solve_Succeeded,MPC,17,"[[-0.256603859926875, 0.25636425380614253], [0.00012147328954009853, 0.002170229578824524], [0.0038738436138982214, -0.0035319415884899775]]","[0.965943455696106, 0.9652739763259888, 0.9638503193855286]"
8,0.968485414981842,Solved_To_Acceptable_Level,MPC,20,"[[-0.17275201048016708, 0.17323879769710357], [0.0013389642685341454, 0.00027974790820397557], [0.0038888703347232127, -0.0035165219011928893]]","[0.9654616713523865, 0.9642969965934753, 0.9614759087562561]"
9,0.9674690365791321,Solved_To_Acceptable_Level,MPC,12,"[[-0.10901747320291393, 0.1096304435844094], [0.0020719456557349533, -0.0010026519502489282], [0.0038986105699181065, -0.003568283555731901]]","[0.9645419716835022, 0.9620589017868042, 0.9558728933334351]"
10,0.9661433696746826,Solved_To_Acceptable_Level,MPC,9,"[[-0.0660789112226676, 0.06656118476781644], [0.002636296822532896, -0.0019403278340858596], [0.004028097731280324, -0.00354078341738529]]","[0.9623538851737976, 0.9566265940666199, 0.9441011548042297]"
11,0.9642152190208435,Solve_Succeeded,MPC,14,"[[-0.03596370939452637, 0.03646371408526242], [-0.00013099802786965505, -0.0006945558617942824], [0.010958770839234922, -0.007585202875978452]]","[0.9569001793861389, 0.9444360136985779, 0.9161970615386963]"
12,0.9602392911911011,Solved_To_Acceptable_Level,MPC,15,"[[-0.04251728799569925, 0.03188223151440687], [0.03448532842092629, -0.03242703562107903], [0.3241870558685724, -0.012288961136819695]]","[0.9433297514915466, 0.9150424003601074, 0.8858997225761414]"
13,0.9494144916534424,Solved_To_Acceptable_Level,MPC,19,"[[0.061800447068796435, -0.034044420592479904], [0.2686097846324387, -0.17178486544765106], [0.3803648473298467, 0.1734216551902188]]","[0.9154905080795288, 0.8868260979652405, 0.8552079200744629]"
14,0.9307975769042969,fail: Maximum_Iterations_Exceeded,SAFE_QP,100,"[0.7388996702017349, 0.06214482298744185]",[0.9679089188575745]
15,0.9262886643409729,Solved_To_Acceptable_Level,MPC,21,"[[0.20208433587069363, -0.0556717067921593], [0.31959857708419354, -0.07685377515105442], [0.157099372096767, -0.004040229757068627]]","[0.8799273371696472, 0.850846529006958, 0.8220443725585938]"
16,0.8979292511940002,Solved_To_Acceptable_Level,MPC,84,"[[0.2927533433181156, -0.12869891819794424], [0.12812949304221039, -0.0220761193087118], [0.10588164514036708, 0.06355544812340869]]","[0.8579148054122925, 0.8301548957824707, 0.8031269311904907]"
17,0.867781937122345,Solved_To_Acceptable_Level,MPC,10,"[[0.17765717068264014, -0.0879099968955419], [0.09540911682059185, 0.08482669038225397], [0.06322586655375947, 0.013983552075510637]]","[0.8285783529281616, 0.8029259443283081, 0.7773932814598083]"
18,0.8223555684089661,Maximum_Iterations_Exceeded_FeasibleRestored,MPC,100,"[[0.1541317715942697, 0.08399526349522382], [0.06885722875768786, 0.011905028153716924], [0.039219327296407716, -0.021346182363903947]]","[0.795011579990387, 0.7704918384552002, 0.7465628981590271]"
19,0.7732104063034058,Solved_To_Acceptable_Level,MPC,15,"[[0.13815796595216315, 0.0027114124236359625], [0.035850775954854856, -0.006694627545870394], [0.010610694140858606, 0.002028806869309644]]","[0.7526612281799316, 0.7296261787414551, 0.7076448202133179]"
20,0.7357082366943359,Solved_To_Acceptable_Level,MPC,64,"[[0.10212849908588408, -0.034157195127620076], [-0.015619694071274628, -0.02529011865318683], [-0.14516817257931808, 0.041722248613445444]]","[0.717543363571167, 0.6959162354469299, 0.6756373643875122]"
21,0.7049323916435242,Solve_Succeeded,MPC,15,"[[0.03169222149827794, -0.034828654797416654], [-0.0026279442064403363, -0.0007321252081535893], [-0.1291901773601083, 0.03125808219326421]]","[0.6838607788085938, 0.6632969975471497, 0.6440020203590393]"
22,0.7058351635932922,fail: Maximum_Iterations_Exceeded,SAFE_QP,100,"[0.04316308549931659, 0.07574898558826398]",[0.747326672077179]
23,0.6866898536682129,Solved_To_Acceptable_Level,MPC,34,"[[0.055366926520148296, -0.07602998604662868], [0.010829511050845519, -0.014673695219654738], [-0.3587361180044231, 0.022993233706554487]]","[0.666244626045227, 0.6460711359977722, 0.6308376789093018]"
24,0.6758841872215271,Solve_Succeeded,MPC,33,"[[0.06683554131470303, -0.053141984569166474], [-0.3664246366642731, 0.035473938641072206], [0.17416663354365802, 0.0034124094056671795]]","[0.6538268327713013, 0.6387679576873779, 0.623171865940094]"
25,0.7272424101829529,fail: Infeasible_Problem_Detected,SAFE_QP,55,"[-0.32257532955388624, 0.08563357877258745]",[-0.03300003707408905]
26,0.8133488893508911,fail: Maximum_Iterations_Exceeded,SAFE_QP,100,"[-0.3911663251296482, -0.003590348946565111]",[0.5004783868789673]
27,0.7310925126075745,fail: Infeasible_Problem_Detected,SAFE_QP,52,"[-0.0777280131394783, -0.02447190248874003]",[-0.03573806956410408]
28,0.794009804725647,Solved_To_Acceptable_Level,MPC,20,"[[-0.2531907677599301, -0.030992410093050683], [-0.46101002233867416, -0.015093540086534539], [-0.174603529808275, -0.0449106714818845]]","[0.7661762237548828, 0.7479312419891357, 0.740707516670227]"
29,0.7495278120040894,Solved_To_Acceptable_Level,MPC,95,"[[-0.5067997051641865, -0.012484488602156844], [-0.12724095099022362, -0.0225642635255732], [-0.02048410298921061, -0.03843598919329529]]","[0.7274985313415527, 0.7076049447059631, 0.7374152541160583]"
30,0.7095838785171509,Solve_Succeeded,MPC,15,"[[-0.23641453559202238, -0.06424141398849845], [0.00012214921432105163, -0.00498084342933283], [0.0039651316307598335, -0.00339834085816254]]","[0.7185783386230469, 0.7347726821899414, 0.7546460032463074]"
31,0.7148845195770264,Solve_Succeeded,MPC,16,"[[-0.0025629505041868295, -0.017549548523859294], [0.0034540675565065413, -0.003601180488590182], [0.0038573045275221256, -0.0036231636172488093]]","[0.7503477334976196, 0.7704584002494812, 0.8065401911735535]"
32,0.7387935519218445,Solved_To_Acceptable_Level,MPC,12,"[[-0.013696183981324392, -0.011022809937187308], [0.0032655055275951778, -0.0035991236622227194], [0.0037881312620005204, -0.0035512412643882887]]","[0.7784939408302307, 0.8151401877403259, 0.8725261092185974]"
33,0.7728720903396606,Solved_To_Acceptable_Level,MPC,13,"[[-0.047806133084753795, -0.017294388990077958], [0.0028383858050624413, -0.0037413180329780365], [0.003959015011801397, -0.003702635479339729]]","[0.8287959098815918, 0.8784945011138916, 0.9093377590179443]"
34,0.815709114074707,Solved_To_Acceptable_Level,MPC,14,"[[-0.04178727579501145, -0.020726976588849973], [0.003042931277746258, -0.003799501283668906], [0.003897197956923332, -0.0036564820820256284]]","[0.8835581541061401, 0.9125784635543823, 0.9296625852584839]"
35,0.8563657999038696,Solve_Succeeded,MPC,17,"[[-0.014499093905934192, -0.02070797123453319], [0.0032391802354466703, -0.00365227281808581], [0.003916169736962914, -0.0036243488245630445]]","[0.9116998910903931, 0.9278814196586609, 0.9423576593399048]"
36,0.8937098383903503,Solved_To_Acceptable_Level,MPC,6,"[[0.009648799511830512, -0.018407142090147263], [0.003733559794799441, -0.004328657480835257], [0.0037481501398239575, -0.0029468261698054584]]","[0.9290382266044617, 0.9432284235954285, 0.9505563974380493]"
37,0.9214553833007812,Solved_To_Acceptable_Level,MPC,16,"[[0.023019965821217903, -0.017449156447964173], [0.0037628301668424864, -0.003458506258970007], [0.0038333345011432726, -0.0036743842414743867]]","[0.9438421726226807, 0.9516797661781311, 0.9557781219482422]"
38,0.9359990954399109,Solved_To_Acceptable_Level,MPC,22,"[[0.028068046358976896, -0.016304135045115603], [0.0037849504958610575, -0.003482921562973876], [0.0037232990385867794, -0.0036878821839851166]]","[0.9512423872947693, 0.9558835029602051, 0.9581595063209534]"
39,0.9469437599182129,Solved_To_Acceptable_Level,MPC,14,"[[0.0285547110402403, -0.016358948339138563], [0.004123546454023964, -0.0036644527646767506], [0.0035198654269143533, -0.0035447391672797993]]","[0.9558715224266052, 0.9580837488174438, 0.959075927734375]"
