step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9490998387336731,Solve_Succeeded,MPC,25,"[[-0.8777952028676578, -0.4731942092587719], [-0.13083484180415336, -0.2950762357692591], [-0.00043236958652682553, -0.1357101357623574]]","[0.9586061835289001, 0.9628477096557617, 0.9646018147468567]"
1,0.958538830280304,Solve_Succeeded,MPC,26,"[[-0.5954713657955018, -0.3929181585198352], [-0.021298530779723334, -0.23762585699210498], [0.0030098507072123803, -0.10684986975490578]]","[0.9634388089179993, 0.9659131169319153, 0.9670132398605347]"
2,0.9671791195869446,Solve_Succeeded,MPC,13,"[[-0.04390655166862069, -0.29263486737661265], [0.0020451166951139413, -0.1641823466028136], [0.00353017772359008, -0.061644755754101103]]","[0.9667956829071045, 0.9683560132980347, 0.969020664691925]"
3,0.9725329875946045,Solve_Succeeded,MPC,15,"[[-0.04940518627329985, -0.10461547275850036], [0.0019576513907396476, -0.0281343386129437], [0.0035528050916966863, -0.002870083854220985]]","[0.9691644906997681, 0.9695704579353333, 0.9697821140289307]"
4,0.9745006561279297,Solved_To_Acceptable_Level,MPC,24,"[[-0.2529048161813413, 0.1474773488893509], [-0.0041303593107041, 0.029056253684309807], [0.0034540643227555265, 0.012066545507883374]]","[0.97000652551651, 0.9699667692184448, 0.9700737595558167]"
5,0.9752762913703918,Solved_To_Acceptable_Level,MPC,23,"[[-0.34634897704622136, 0.2190078841986691], [-0.009227648077345014, 0.03647639030915446], [0.0038658934446353078, 0.02254485133000299]]","[0.969779908657074, 0.9696514010429382, 0.9696618318557739]"
6,0.9756239652633667,Solve_Succeeded,MPC,25,"[[-0.3324452901447255, 0.21395081203492847], [-0.007500286866506324, 0.044958699893147935], [0.003232781160369792, 0.017942964108586108]]","[0.9701405167579651, 0.9699806571006775, 0.9700864553451538]"
7,0.9758468866348267,Solve_Succeeded,MPC,27,"[[-0.2581139280309471, 0.20006780868642562], [-0.004772248203719749, 0.04993858860840101], [0.003412418711830289, 0.022230695620732384]]","[0.9706713557243347, 0.9705363512039185, 0.9706878662109375]"
8,0.9755681753158569,Solve_Succeeded,MPC,23,"[[-0.17459215388284208, 0.18618036471071886], [-0.0019340121627559623, 0.0588887367331397], [0.003336239104641949, 0.025724649375578498]]","[0.9712710976600647, 0.9711430668830872, 0.9712909460067749]"
9,0.9750359654426575,Solve_Succeeded,MPC,22,"[[-0.11028286332463781, 0.17248064845978417], [9.321280408337299e-05, 0.06687537346906092], [0.003408157875742773, 0.03438455758513798]]","[0.9719181656837463, 0.9717510342597961, 0.9718350172042847]"
10,0.9746120572090149,Solved_To_Acceptable_Level,MPC,14,"[[-0.06696483801798425, 0.1536703888400808], [0.0012413950223694424, 0.08069781073695914], [0.0035557810663999485, 0.03999680064850802]]","[0.9722954630851746, 0.9720135927200317, 0.9720820188522339]"
11,0.9742923974990845,Solved_To_Acceptable_Level,MPC,18,"[[-0.036700133217601474, 0.14906815513833707], [0.0020671665443994357, 0.09692278903939276], [0.0035830124796782607, 0.051575573484737174]]","[0.9723237752914429, 0.9719290137290955, 0.9717475175857544]"
12,0.9739266633987427,Solve_Succeeded,MPC,18,"[[-0.014585875115589344, 0.15210739510098462], [0.002771023518911549, 0.10047899508047796], [0.0035293451271622414, 0.050044698110207585]]","[0.9721037149429321, 0.9714881777763367, 0.9714066982269287]"
13,0.9733333587646484,Solved_To_Acceptable_Level,MPC,14,"[[0.0017171781451676344, 0.15765436171565522], [0.00323108207071913, 0.10320931447257109], [0.0035936059541247785, 0.05157526918854703]]","[0.971439778804779, 0.9709372520446777, 0.970866858959198]"
14,0.9725680351257324,Solved_To_Acceptable_Level,MPC,12,"[[0.012399366182375457, 0.15746124661140787], [0.003876680220181478, 0.09906942446235538], [0.0032818119228976836, 0.04456829018384741]]","[0.9707857966423035, 0.9703211188316345, 0.970223069190979]"
15,0.9716689586639404,Solve_Succeeded,MPC,11,"[[0.019254974540066666, 0.15007302026649275], [0.003776321245601412, 0.09475417488933638], [0.0036264382980516134, 0.04588408945405814]]","[0.9701031446456909, 0.9694932103157043, 0.9692434072494507]"
16,0.9708378314971924,Solve_Succeeded,MPC,11,"[[0.02247562268378014, 0.138812330998957], [0.003917385378702507, 0.09272965664700272], [0.003589661243588044, 0.04822693824484881]]","[0.9692399501800537, 0.9685099720954895, 0.9682022929191589]"
17,0.9701386094093323,Solve_Succeeded,MPC,10,"[[0.0236221070059309, 0.1344177271765859], [0.0037888684659064258, 0.08205106437174174], [0.0037270579210863025, 0.036627537413613805]]","[0.9682655334472656, 0.967630922794342, 0.967439591884613]"
18,0.9693481922149658,Solve_Succeeded,MPC,10,"[[0.02335645778352786, 0.12498843302067683], [0.003950015867496396, 0.07822670007453117], [0.0035581572042292027, 0.03613988667027113]]","[0.9673991799354553, 0.9668070673942566, 0.9666208624839783]"
