step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
24,0.9671552181243896,Solved_To_Acceptable_Level,MPC,17,"[[0.01770823869827851, 0.013161712846970933], [0.0037498282580994105, 0.0035186108375090007], [0.00340768142403013, 0.004806880309887277]]","[0.966343343257904, 0.9663973450660706, 0.9664753675460815]"
25,0.9672561287879944,Solve_Succeeded,MPC,14,"[[0.01694386344867519, 0.014732151698545965], [0.0036406839477113803, 0.0036265572246539086], [0.0036927685825015473, 0.004402453899521976]]","[0.9664250612258911, 0.9665157198905945, 0.9667224884033203]"
26,0.9673505425453186,Solve_Succeeded,MPC,16,"[[0.01652829465842252, 0.015315256701705585], [0.003674529114838417, 0.004039648965881344], [0.003681792803872973, 0.004044494435069038]]","[0.9665563702583313, 0.9667558670043945, 0.9669971466064453]"
27,0.9674441814422607,Solved_To_Acceptable_Level,MPC,15,"[[0.01627106655395742, 0.01603220948812919], [0.003642280637378935, 0.0030943167352298793], [0.0037214772942984883, 0.004487037115289781]]","[0.9667869210243225, 0.9670313596725464, 0.9672878384590149]"
28,0.9675586819648743,Solved_To_Acceptable_Level,MPC,15,"[[0.016636719506011144, 0.016271712511342074], [0.003150663785051624, 0.003466971198982516], [0.0031334617693088884, 0.0043196382080831685]]","[0.9670564532279968, 0.967318058013916, 0.967582643032074]"
29,0.9677614569664001,Solve_Succeeded,MPC,18,"[[0.01553764147470179, 0.015700909892564896], [0.003572911802662073, 0.004071658871005902], [0.0037483773399434647, 0.004198743916019362]]","[0.9673480987548828, 0.9676102995872498, 0.9678807854652405]"
30,0.9679750204086304,Solved_To_Acceptable_Level,MPC,7,"[[0.016123553197792892, 0.016193178518427814], [0.0034088098799904473, 0.004348338330929974], [0.0036171625265022495, 0.0034551933149501017]]","[0.9676384329795837, 0.9679076075553894, 0.9681394100189209]"
31,0.9681841731071472,Solved_To_Acceptable_Level,MPC,6,"[[0.015802792284568986, 0.015509232732752813], [0.0037349308026922946, 0.006132166276314571], [0.0035774160260078985, 0.0028653166262981476]]","[0.9679388403892517, 0.9681647419929504, 0.9683724045753479]"
32,0.968410074710846,Solved_To_Acceptable_Level,MPC,6,"[[0.015967295182241818, 0.01658394029428016], [0.003745671871004324, 0.006028681024851705], [0.0035659785453666867, 0.0029381722789704003]]","[0.9682003855705261, 0.9683994650840759, 0.968587338924408]"
33,0.9686703085899353,Solved_To_Acceptable_Level,MPC,12,"[[0.015758718328332366, 0.017900196683406797], [0.003540524406697228, 0.002904785025196639], [0.004694086616853458, 0.005224427275647041]]","[0.9684344530105591, 0.9686211347579956, 0.9687458872795105]"
34,0.9689218401908875,Solved_To_Acceptable_Level,MPC,17,"[[0.01615438612361346, 0.01673539667298142], [0.003575860904588251, 0.0034407888866068363], [0.0038070221746686317, 0.0040017663242117715]]","[0.9686440229415894, 0.9687672853469849, 0.9686983227729797]"
35,0.9691605567932129,Solved_To_Acceptable_Level,MPC,14,"[[0.01615768046125886, 0.015964356506215284], [0.003604948499746107, 0.003974488283533213], [0.003486459728109992, 0.005276850516722427]]","[0.9687840342521667, 0.9687023162841797, 0.9682925343513489]"
36,0.9692942500114441,Solved_To_Acceptable_Level,MPC,7,"[[0.016177955786751807, 0.016400701927755647], [0.0034882001167360916, 0.004563019912239583], [0.003503506501533251, 0.003415262683153149]]","[0.968705952167511, 0.9682766199111938, 0.9669517874717712]"
37,0.9693094491958618,Solved_To_Acceptable_Level,MPC,6,"[[0.01587495570228657, 0.015647160005850678], [0.0037143278121445898, 0.006659395464144054], [0.0035926040719430207, 0.002972687328290792]]","[0.9682664275169373, 0.9668455123901367, 0.9634851813316345]"
38,0.9690980315208435,Solved_To_Acceptable_Level,MPC,6,"[[0.016033223927047653, 0.01683376990497186], [0.003728320666111417, 0.006558538614080081], [0.0035793252626618055, 0.003018730203812318]]","[0.9667758345603943, 0.9631881713867188, 0.9557380080223083]"
39,0.9685400724411011,Solved_To_Acceptable_Level,MPC,6,"[[0.016178288263794506, 0.01685186024281809], [0.003509081625234909, 0.006982583041480924], [0.0037941797246770054, 0.002258166439451904]]","[0.9629263281822205, 0.9550443887710571, 0.9316470623016357]"
40,0.9665060639381409,Solve_Succeeded,MPC,44,"[[0.015575579655278983, 0.023819179401140027], [-0.022226079883562067, 0.0690236285397922], [0.5058250807179031, -0.09327993033422746]]","[0.9542402625083923, 0.9283674359321594, 0.8961586952209473]"
41,0.9610111713409424,fail: Maximum_Iterations_Exceeded,SAFE_QP,100,"[0.999999999553209, -0.5167998577775382]",[0.9691678285598755]
42,0.9631346464157104,Solved_To_Acceptable_Level,MPC,25,"[[-0.12782528044415442, 0.4543905592799885], [-0.024028495757670555, -0.023911842186512402], [0.16270080853772417, 0.08436695307343609]]","[0.9309346079826355, 0.9029867053031921, 0.8729479312896729]"
43,0.9550117254257202,fail: Maximum_Iterations_Exceeded,SAFE_QP,100,"[0.2721166530279389, 0.09397544061129182]",[0.9582046270370483]
44,0.9441338181495667,Solve_Succeeded,MPC,26,"[[-0.11295349888396108, 0.01674147637129721], [0.09559604780942808, 0.032077096779547544], [-0.13807477817838798, -0.039774482963129985]]","[0.915237545967102, 0.8877783417701721, 0.8619097471237183]"
45,0.9173914194107056,fail: Maximum_Iterations_Exceeded,SAFE_QP,100,"[0.2949574701764447, 0.19642324468764064]",[0.9424657225608826]
46,0.9249629378318787,Maximum_Iterations_Exceeded_FeasibleRestored,MPC,100,"[[0.004121759013450412, -0.20432541313979247], [0.11584713459627591, 0.011993902237042827], [-0.23027197173765782, -0.010875723002777051]]","[0.8957501649856567, 0.8683590888977051, 0.8442917466163635]"
