episode,step,agent_id,solver_status,solve_time,action_x,action_y,feasible,eso_action_x,eso_action_y,compensated_x,compensated_y
1,0,0,mpc_success,0.01,7.667733022345991,8.90564577671687,True,7.667733022345991,8.90564577671687,7.667733022345991,8.90564577671687
1,0,1,mpc_success,0.01,8.821034146578729,7.692445296405615,True,8.821034146578729,7.692445296405615,8.821034146578729,7.692445296405615
1,0,2,mpc_success,0.01,-6.418643947236339,5.226588008484968,True,-6.418643947236339,5.226588008484968,-6.418643947236339,5.226588008484968
1,0,3,mpc_success,0.01,8.820651148369826,0.00011581515477210463,True,8.820651148369826,0.00011581515477210463,8.820651148369826,0.00011581515477210463
1,1,0,mpc_success,0.01,5.79160423546304,5.952901931184816,True,5.79160423546304,5.952901931184816,5.82159166913701,5.98773066886711
1,1,1,mpc_success,0.01,5.947652126397551,5.780250303757946,True,5.947652126397551,5.780250303757946,5.982149959803521,5.810334383686695
1,1,2,mpc_success,0.01,-4.943845124933412,4.38142608743703,True,-4.943845124933412,4.38142608743703,-4.96894754556851,4.401866543669515
1,1,3,mpc_success,0.01,5.948374739439348,-0.0022002089560256444,True,5.948374739439348,-0.0022002089560256444,5.9828710749927705,-0.002199756019126354
1,2,0,mpc_success,0.01,1.3960494257241174,0.375094660556274,True,1.3960494257241174,0.375094660556274,1.2988471440811153,0.25917368374885785
1,2,1,mpc_success,0.01,0.41920040064674746,1.3777674121831074,True,0.41920040064674746,1.3777674121831074,0.30458143603893784,1.2801344554571095
1,2,2,mpc_success,0.01,-2.6255180110016187,2.896384164080617,True,-2.6255180110016187,2.896384164080617,-2.544524464042225,2.831823806164366
1,2,3,mpc_success,0.01,0.4173527360091612,-0.0027233317691547788,True,0.4173527360091612,-0.0027233317691547788,0.3027425839902686,-0.002733746757351831
1,3,0,mpc_success,0.01,-1.5014126421122211,0.48999546181072773,True,-1.5014126421122211,0.48999546181072773,-1.8986712895848856,0.4956589294651189
1,3,1,mpc_success,0.01,-1.6639986002654088,0.6121505771079755,True,-1.6639986002654088,0.6121505771079755,-2.082474311651883,0.6401684879288528
1,3,2,mpc_success,0.01,-1.2186926666897369,1.935537914097611,True,-1.2186926666897369,1.935537914097611,-1.2811844089973936,2.02334023249721
1,3,3,mpc_success,0.01,-1.6692221791308544,0.19406961983418589,True,-1.6692221791308544,0.19406961983418589,-2.0877114442131615,0.4068374026415901
1,4,0,mpc_success,0.01,-1.8650841171542194,2.5519812571900644,True,-1.8650841171542194,2.5519812571900644,-2.5776387762325266,3.091400650189395
1,4,1,mpc_success,0.01,-1.763742446186657,2.2985388780859584,True,-1.763742446186657,2.2985388780859584,-2.4718828968356954,2.826577197808712
1,4,2,mpc_success,0.01,-2.0135866909023137,2.0342058538514336,True,-2.0135866909023137,2.0342058538514336,-2.5369946767020797,2.5650248028055382
1,4,3,mpc_success,0.01,-1.7575922700816704,0.8177061476081329,True,-1.7575922700816704,0.8177061476081329,-2.4657617276270773,1.4506657205525744
1,5,0,mpc_success,0.01,-1.8990391075571103,3.4855294143524045,True,-1.8990391075571103,3.4855294143524045,-2.9235110224350196,4.729157442820647
1,5,1,mpc_success,0.01,-1.8128047629779338,3.3037287832743525,True,-1.8128047629779338,3.3037287832743525,-2.8191047954660817,4.518617009423478
1,5,2,mpc_success,0.01,-2.7773659693685024,2.459895711445715,True,-2.7773659693685024,2.459895711445715,-3.9528504415831938,3.608641282140832
