episode,step,agent_id,cbf_value,margin_violation,grad_x,grad_y,grad_vx,grad_vy,drift_term,control_coeff_x,control_coeff_y
1,0,0,0.9910052418708801,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,3,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0.992196261882782,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,0.9929531216621399,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0,0.9935228228569031,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,2,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,3,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0,0.9937756061553955,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,2,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,3,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0,0.9937272667884827,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,3,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0,0.9934948086738586,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,2,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,3,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0,0.9932180047035217,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,2,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,3,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,0,0.9928873777389526,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
