step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9795317053794861,Solve_Succeeded,MPC,6,"[[-0.6418643947236339, 0.5226588008484968], [-0.4185809654210357, 0.329902928717668], [-0.19099659331764257, 0.1522346705599983]]","[0.974661111831665, 0.9728267788887024, 0.9714760184288025]"
1,0.9747886657714844,Solve_Succeeded,MPC,7,"[[-0.4943845124933412, 0.43814260874370303], [-0.25786480161486824, 0.2657525318712145], [-0.0586994235007257, 0.11925409789547034]]","[0.9723833799362183, 0.9705093502998352, 0.9689653515815735]"
2,0.9738384485244751,Solved_To_Acceptable_Level,MPC,6,"[[-0.2625518011001619, 0.2896384164080617], [-0.05618874903619551, 0.1408553068270125], [-0.003251634358843774, 0.03987948144616735]]","[0.9701193571090698, 0.9686692953109741, 0.9676461815834045]"
3,0.9733538031578064,Solved_To_Acceptable_Level,MPC,8,"[[-0.12186926666897369, 0.19355379140976112], [-0.014181086148817551, 0.06438088715216364], [0.0015423324739102717, 0.009079969857035294]]","[0.9688738584518433, 0.9678354859352112, 0.9666153192520142]"
4,0.9733485579490662,Solved_To_Acceptable_Level,MPC,11,"[[-0.2013586690902314, 0.20342058538514338], [-0.03484655918835366, 0.07821007840171396], [-0.002397705387643699, 0.014629723669774707]]","[0.9684374928474426, 0.9672510027885437, 0.965889573097229]"
5,0.973261296749115,Solved_To_Acceptable_Level,MPC,8,"[[-0.27773659693685027, 0.24598957114457154], [-0.07948298196159637, 0.11739066164173538], [-0.006775940486883553, 0.03287661724676065]]","[0.9681360125541687, 0.9669855833053589, 0.9655266404151917]"
6,0.9725874662399292,Solved_To_Acceptable_Level,MPC,9,"[[-0.2999955456818053, 0.27125710323823526], [-0.10155516689573664, 0.14144321344095176], [-0.011138553853541905, 0.04943506344538049]]","[0.9679603576660156, 0.9667691588401794, 0.965248703956604]"
7,0.9714361429214478,Solved_To_Acceptable_Level,MPC,8,"[[-0.278215277606542, 0.2645196339303976], [-0.09133934857895426, 0.13993388243039193], [-0.009138437714268404, 0.051996128269064995]]","[0.9677102565765381, 0.9663406610488892, 0.9647883176803589]"
8,0.9698688983917236,Solved_To_Acceptable_Level,MPC,12,"[[-0.22685242382879417, 0.2341127955387415], [-0.055160586119795074, 0.11712564949939308], [-0.004094308323378596, 0.036788982624255485]]","[0.9670847058296204, 0.9654953479766846, 0.9640770554542542]"
9,0.9681620597839355,Solved_To_Acceptable_Level,MPC,9,"[[-0.14724773164923372, 0.17914197801377538], [-0.026027986566586985, 0.07962150044487788], [0.0008461831298640922, 0.021729125469795003]]","[0.9659909605979919, 0.964467465877533, 0.963062047958374]"
10,0.966881275177002,Solved_To_Acceptable_Level,MPC,6,"[[-0.07880522360311647, 0.1166699232186701], [-0.009558521062008921, 0.0424678341191528], [0.0034660547533997897, 0.008674863108285503]]","[0.964699923992157, 0.9632565975189209, 0.9614013433456421]"
