step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9948325753211975,Solve_Succeeded,MPC,16,"[[0.8820651148369827, 1.1581515477210463e-05], [0.11163563434996242, 7.016897799453968e-06], [-0.000349581944496002, -4.6149159046064155e-05]]","[0.9948237538337708, 0.9948664903640747, 0.9948664307594299]"
1,0.9948237538337708,Solve_Succeeded,MPC,13,"[[0.5948374739439348, -0.00022002089560256444], [0.019865922229632578, -0.0003611028477117676], [-0.002922029318580354, -0.0005607941974672669]]","[0.9951611161231995, 0.9951805472373962, 0.9951784610748291]"
2,0.9957913160324097,Solve_Succeeded,MPC,6,"[[0.04173527360091612, -0.0002723331769154779], [-0.0019644514165784105, -0.00042993536557696003], [-0.0037705934083925954, -3.0585407744378367e-06]]","[0.9952836632728577, 0.9952824115753174, 0.9952790141105652]"
3,0.9963512420654297,Solved_To_Acceptable_Level,MPC,21,"[[-0.16692221791308545, 0.01940696198341859], [-0.007066118402182589, 0.01805635865147319], [-0.005361319160080793, 0.014977118604996053]]","[0.9953216910362244, 0.99529629945755, 0.995275616645813]"
4,0.9966604113578796,Solve_Succeeded,MPC,24,"[[-0.17575922700816704, 0.08177061476081329], [-0.0075624399242222124, 0.05264839243148611], [-0.003688078131360637, 0.02564894708542766]]","[0.995506763458252, 0.9954454898834229, 0.9954155087471008]"
5,0.9968437552452087,Solved_To_Acceptable_Level,MPC,21,"[[-0.1804414416698613, 0.1202070744671198], [-0.008447705324959125, 0.09573885758459527], [-0.00476217256082165, 0.05512225618586087]]","[0.9957118630409241, 0.9956079721450806, 0.9955508708953857]"
6,0.9969137907028198,Solved_To_Acceptable_Level,MPC,22,"[[-0.1956289878363536, 0.18583585536466735], [-0.008183462390233254, 0.12679320767718902], [-0.0040419601618981345, 0.0633781949024476]]","[0.9958310127258301, 0.9956953525543213, 0.9956310987472534]"
7,0.9968773126602173,Solved_To_Acceptable_Level,MPC,20,"[[-0.20087343212793568, 0.2022151841348872], [-0.008207324521526643, 0.1533115610104621], [-0.0041986925538986565, 0.0801479590432339]]","[0.9958916902542114, 0.9957277178764343, 0.9956454038619995]"
8,0.9967644214630127,Solved_To_Acceptable_Level,MPC,24,"[[-0.19340850180880026, 0.2323130693056945], [-0.008163868704834404, 0.14084022462028392], [-0.003969037212002325, 0.06513936220785291]]","[0.9958558082580566, 0.9957053661346436, 0.9956380724906921]"
9,0.9965687990188599,Solve_Succeeded,MPC,23,"[[-0.17527657850025563, 0.2242799742476876], [-0.007899072805308782, 0.13818357284343372], [-0.0036649405973038242, 0.06445500639335745]]","[0.9957720041275024, 0.9956181645393372, 0.9955458641052246]"
10,0.9963476657867432,Solved_To_Acceptable_Level,MPC,16,"[[-0.15036832995329127, 0.21212481909208916], [-0.007036087129790099, 0.12018837536457876], [-0.002996074265099029, 0.04754174899423024]]","[0.995646059513092, 0.9955068826675415, 0.9954565167427063]"
11,0.9961048364639282,Solve_Succeeded,MPC,21,"[[-0.1120702599510773, 0.17957506425485695], [-0.006361253284056673, 0.10526618293456444], [-0.003809822955224173, 0.045264381025488354]]","[0.9955370426177979, 0.9954212307929993, 0.9953722953796387]"
12,0.9958909749984741,Solved_To_Acceptable_Level,MPC,17,"[[-0.07718962473101483, 0.14704875694802666], [-0.006130323334417159, 0.0842018060544177], [-0.0033052929278060226, 0.03448941104655024]]","[0.9954519867897034, 0.9953665137290955, 0.9953335523605347]"
13,0.9957179427146912,Solve_Succeeded,MPC,18,"[[-0.0534090126246739, 0.1331003853979732], [-0.004751118731374736, 0.07863138877693943], [-0.003620444905413864, 0.03472220569528018]]","[0.9953554272651672, 0.9952829480171204, 0.995246946811676]"
