step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9906005263328552,Solved_To_Acceptable_Level,MPC,27,"[[0.8893294641846401, -0.8224091306665363], [0.07730886101132409, -0.3182037377037707], [-0.001134655779023017, -0.013308704267087213]]","[0.9927776455879211, 0.9933503866195679, 0.9933738708496094]"
1,0.9927757382392883,Solve_Succeeded,MPC,17,"[[0.5949337017856089, -0.6033829620584898], [0.016871138243690645, -0.045346062708006465], [-0.003168521736469824, 0.0015192306887128466]]","[0.9941985607147217, 0.994286060333252, 0.9942879676818848]"
2,0.994937539100647,Solved_To_Acceptable_Level,MPC,6,"[[0.03787366542332869, -0.07873833221965107], [-0.0019769654203240085, 0.0010931705584177874], [-0.002733019980512324, 0.005717752137711105]]","[0.994570255279541, 0.9945744872093201, 0.9945716857910156]"
3,0.9955669045448303,Solve_Succeeded,MPC,21,"[[-0.1674716937612747, 0.1633003222790087], [-0.006736846048378467, 0.009265105038006935], [-0.003703210921741686, 0.003972961288827732]]","[0.9943832755088806, 0.9943708181381226, 0.9943692684173584]"
4,0.995736300945282,Solved_To_Acceptable_Level,MPC,19,"[[-0.17500648414440428, 0.18116870826321], [-0.007210774209252819, 0.010323281147741586], [-0.004704550292180662, 0.0038351723504213425]]","[0.9943612217903137, 0.9943467378616333, 0.9943442344665527]"
5,0.9958347678184509,Solved_To_Acceptable_Level,MPC,19,"[[-0.18077371819472507, 0.18479705637509738], [-0.007188546525386754, 0.010685168505521201], [-0.003609346529621954, 0.0033860207412349332]]","[0.9943618774414062, 0.9943469762802124, 0.994346559047699]"
6,0.9958720207214355,Solve_Succeeded,MPC,26,"[[-0.19469397607782907, 0.19554796698002244], [-0.007694396385228994, 0.01078978085568734], [-0.0036878190473402937, 0.0038393675134577995]]","[0.9943437576293945, 0.9943282604217529, 0.9943272471427917]"
7,0.9958330988883972,Solved_To_Acceptable_Level,MPC,21,"[[-0.20082725070686822, 0.20068201588255563], [-0.007710853691780088, 0.010527203347389902], [-0.0040326291062586905, 0.00447994303347264]]","[0.9943425059318542, 0.9943276047706604, 0.9943253993988037]"
8,0.9957268834114075,Solved_To_Acceptable_Level,MPC,20,"[[-0.19355779719147653, 0.19312284074440542], [-0.007884397629247737, 0.010367580706030095], [-0.0035993901819710798, 0.004567160385760716]]","[0.9943742752075195, 0.9943596720695496, 0.9943577647209167]"
9,0.9955837726593018,Solved_To_Acceptable_Level,MPC,21,"[[-0.17521203208749392, 0.17480741406675424], [-0.007201416469365131, 0.010338053948918744], [-0.0036741376169421307, 0.0030835509997553657]]","[0.9944329261779785, 0.9944194555282593, 0.9944198131561279]"
10,0.9954147934913635,Solve_Succeeded,MPC,20,"[[-0.15021156409827804, 0.14824222001065965], [-0.006873165797284044, 0.01017435396286805], [-0.0036243652809856857, 0.003450520356076157]]","[0.9945092797279358, 0.9944971203804016, 0.9944983124732971]"
11,0.995241105556488,Solved_To_Acceptable_Level,MPC,17,"[[-0.11255093050066671, 0.11146270933994903], [-0.0060647167543827546, 0.008536945957686212], [-0.0033825262852260345, 0.0036827953063886957]]","[0.9946127533912659, 0.9946048855781555, 0.9946063756942749]"
12,0.9951086044311523,Solved_To_Acceptable_Level,MPC,20,"[[-0.0782539373234365, 0.0781356898640362], [-0.004898790306465891, 0.005167873456621317], [-0.003872792026114691, 0.0054636013112471515]]","[0.9946823120117188, 0.9946805238723755, 0.9946792125701904]"
13,0.9950226545333862,Solved_To_Acceptable_Level,MPC,21,"[[-0.05274593044140911, 0.052741770069932296], [-0.004508835477862864, 0.0049682234926181085], [-0.00357794574271244, 0.004696393533312341]]","[0.9946963787078857, 0.9946951270103455, 0.994695246219635]"
14,0.9949668049812317,Solved_To_Acceptable_Level,MPC,12,"[[-0.03598876394735179, 0.036788578467912246], [-0.0045442866956447465, 0.0049682315562882134], [-0.0036334877712463818, 0.003810466568603842]]","[0.994703471660614, 0.9947022795677185, 0.9947038292884827]"
15,0.994929313659668,Solved_To_Acceptable_Level,MPC,11,"[[-0.025600133092971294, 0.0261369040339851], [-0.0038177421531609733, 0.003494101439061832], [-0.0035514905204786502, 0.004490666012772831]]","[0.9947111010551453, 0.9947128891944885, 0.9947144985198975]"
16,0.994907021522522,Solved_To_Acceptable_Level,MPC,10,"[[-0.018612857052292535, 0.019340873109431812], [-0.003565622957852108, 0.0034375557609162277], [-0.003869975819044524, 0.004289136459454246]]","[0.9947192072868347, 0.9947226047515869, 0.9947265982627869]"
17,0.9948970079421997,Solved_To_Acceptable_Level,MPC,11,"[[-0.014417066951422896, 0.014068503491535399], [-0.0035281867499614406, 0.004040479403957724], [-0.0034706630893241563, 0.004506452556393267]]","[0.9947304725646973, 0.9947352409362793, 0.9947394132614136]"
18,0.9949009418487549,Solve_Succeeded,MPC,11,"[[-0.011983313661138742, 0.01266549737811774], [-0.0034758534341066323, 0.004036001590197365], [-0.003564007123500044, 0.003768374897681228]]","[0.9947428703308105, 0.9947477579116821, 0.9947531819343567]"
19,0.9949111938476562,Solved_To_Acceptable_Level,MPC,11,"[[-0.011189539233375904, 0.011530508214453901], [-0.003522825678712788, 0.004388127052368397], [-0.0034614613208903237, 0.004058619778227227]]","[0.9947558641433716, 0.9947604537010193, 0.9947658777236938]"
20,0.9949259757995605,Solve_Succeeded,MPC,12,"[[-0.011153308436113597, 0.01163012622642031], [-0.00351572329150965, 0.004211916632637619], [-0.00354924894323833, 0.0037797210874576386]]","[0.9947689771652222, 0.9947742223739624, 0.994780421257019]"
21,0.994942843914032,Solved_To_Acceptable_Level,MPC,11,"[[-0.011577315830163352, 0.011348128685167536], [-0.003690015310596597, 0.004936702672633999], [-0.003194556298015404, 0.004649099797598315]]","[0.9947836995124817, 0.9947881102561951, 0.9947935938835144]"
22,0.9949617981910706,Solved_To_Acceptable_Level,MPC,11,"[[-0.012506825234154023, 0.013034123071829372], [-0.0036357857531174194, 0.004772299418904148], [-0.003396940388285077, 0.004512166464779652]]","[0.9947972297668457, 0.9948021769523621, 0.9948086142539978]"
23,0.9949795603752136,Solved_To_Acceptable_Level,MPC,11,"[[-0.013295790826773103, 0.01371364711098319], [-0.0035783298658650306, 0.004675777188863491], [-0.0035077280635013313, 0.0045562250953176744]]","[0.9948112964630127, 0.994817316532135, 0.9948245286941528]"
24,0.994996964931488,Solve_Succeeded,MPC,10,"[[-0.014035333538431272, 0.014531349358880417], [-0.003543422904760754, 0.004397626871520123], [-0.003608061699744801, 0.004413238358860285]]","[0.9948258399963379, 0.9948331713676453, 0.9948409199714661]"
25,0.9950124025344849,Solve_Succeeded,MPC,10,"[[-0.014721806663827853, 0.015230843331935839], [-0.003348095286406956, 0.004035708575640721], [-0.0036396673839346845, 0.004344185240951833]]","[0.9948408603668213, 0.994849443435669, 0.9948616623878479]"
26,0.9950271844863892,Solve_Succeeded,MPC,10,"[[-0.01489301083754913, 0.015427726195621069], [-0.0035151191980471496, 0.004116242057368785], [-0.0038519572217400725, 0.004290883841152649]]","[0.9948573708534241, 0.9948700666427612, 0.9948822259902954]"
27,0.9950424432754517,Solve_Succeeded,MPC,11,"[[-0.015388436769009636, 0.015937987877635125], [-0.0035805110261250277, 0.004102174379774825], [-0.0038653698938555586, 0.004164297138589561]]","[0.9948779344558716, 0.9948906302452087, 0.9949033856391907]"
28,0.9950594305992126,Solve_Succeeded,MPC,11,"[[-0.015667991962451513, 0.016314652874367667], [-0.003822808848920224, 0.003965488027978599], [-0.0037313242822697205, 0.004265209533505424]]","[0.9948985576629639, 0.9949116110801697, 0.9949247241020203]"
29,0.9950783848762512,Solved_To_Acceptable_Level,MPC,12,"[[-0.016057633756789223, 0.017212289430975393], [-0.0038714762459878863, 0.003407418033417508], [-0.0035231572405134766, 0.0037597507822064616]]","[0.994918167591095, 0.9949322938919067, 0.9949465394020081]"
30,0.9950962662696838,Solve_Succeeded,MPC,16,"[[-0.016107713711319506, 0.015681313267387597], [-0.0037117953180398336, 0.004047101735924579], [-0.0036099782631905915, 0.004828487932886801]]","[0.9949407577514648, 0.9949545860290527, 0.9949679970741272]"
31,0.9951160550117493,Solve_Succeeded,MPC,11,"[[-0.016120823957228764, 0.016788396874632773], [-0.0035744063241878316, 0.004210904978681984], [-0.0038156798129770964, 0.004083992057018912]]","[0.9949619770050049, 0.9949764013290405, 0.9949914813041687]"
32,0.9951346516609192,Solve_Succeeded,MPC,11,"[[-0.01615895378348624, 0.01679094408382683], [-0.003559357209416127, 0.0044077818656101464], [-0.003820155571043599, 0.004087623674695789]]","[0.9949842691421509, 0.9949991703033447, 0.9950191974639893]"
33,0.9951532483100891,Solve_Succeeded,MPC,11,"[[-0.01617951620867771, 0.016842643032421903], [-0.0035434622793989075, 0.004458924014132479], [-0.0038257254874746564, 0.004166427638897695]]","[0.9950065016746521, 0.9950268268585205, 0.9950473308563232]"
34,0.9951729774475098,Solve_Succeeded,MPC,11,"[[-0.016191532126116636, 0.016829969780605677], [-0.003519842942145564, 0.004516579211096363], [-0.0038226377234337693, 0.00432077155040812]]","[0.9950350522994995, 0.9950556755065918, 0.9950730204582214]"
35,0.9951971769332886,Solve_Succeeded,MPC,11,"[[-0.01614520056632856, 0.016941654570635237], [-0.0035862659815705466, 0.004534934090595445], [-0.0038061213098832796, 0.004291256252805014]]","[0.9950641989707947, 0.9950816631317139, 0.9950994849205017]"
36,0.9952222108840942,Solve_Succeeded,MPC,11,"[[-0.016165575820169375, 0.01690288892301288], [-0.003574993000439333, 0.004708743249240228], [-0.0038017247806038227, 0.004288610079516435]]","[0.9950898289680481, 0.9951076507568359, 0.9951244592666626]"
37,0.9952437281608582,Solve_Succeeded,MPC,11,"[[-0.016143981609674816, 0.01704115050617093], [-0.003593912085940537, 0.004734023627610476], [-0.0037835582651264596, 0.004352528642828012]]","[0.9951155185699463, 0.9951316118240356, 0.9951425790786743]"
38,0.9952651858329773,Solve_Succeeded,MPC,11,"[[-0.016134930266237742, 0.017105834645616217], [-0.003599019301619776, 0.004862652744588441], [-0.0037934690493965314, 0.004290398502708385]]","[0.9951387643814087, 0.9951487183570862, 0.9951575398445129]"
39,0.9952880144119263,Solve_Succeeded,MPC,11,"[[-0.016121397362305622, 0.017212207042405843], [-0.003631689848172495, 0.004884120414663366], [-0.003783314442118546, 0.004387806230385188]]","[0.9951604008674622, 0.9951743483543396, 0.9951954483985901]"
40,0.9953075647354126,Solve_Succeeded,MPC,11,"[[-0.016118817254674137, 0.017224116161388057], [-0.0036748699448549017, 0.005048295531952467], [-0.0037693966889083314, 0.004466824778242903]]","[0.9951791167259216, 0.9951964616775513, 0.9952060580253601]"
41,0.995326042175293,Solve_Succeeded,MPC,11,"[[-0.01613121386946257, 0.017301299602449523], [-0.0036701953123675878, 0.005316062036751245], [-0.003773792234873878, 0.004483316757996377]]","[0.9952030777931213, 0.9952109456062317, 0.9952040314674377]"
42,0.9953439831733704,Solve_Succeeded,MPC,11,"[[-0.016106322669933008, 0.017587514753025234], [-0.0037312184381019147, 0.005404109522270126], [-0.003750115082324374, 0.0044773048662530845]]","[0.9952166080474854, 0.9952071905136108, 0.9951591491699219]"
43,0.9953694343566895,Solve_Succeeded,MPC,11,"[[-0.016097571938774473, 0.017759979249226343], [-0.0037900950748532215, 0.005544335416439745], [-0.003722384419281364, 0.00440750137782041]]","[0.9952534437179565, 0.9952647686004639, 0.9952746033668518]"
44,0.9953900575637817,Solve_Succeeded,MPC,11,"[[-0.016091477984418696, 0.017914082695141866], [-0.0038417652331144405, 0.005739557183924808], [-0.0036905279917762482, 0.004242530544159061]]","[0.9952796697616577, 0.995287299156189, 0.9953088760375977]"
45,0.9953998923301697,Solve_Succeeded,MPC,11,"[[-0.016137005421422216, 0.01772445035776568], [-0.003850763710077297, 0.006442993841705478], [-0.003709595362482189, 0.0044512978518696416]]","[0.9952924847602844, 0.995275616645813, 0.9953415393829346]"
46,0.9954240918159485,Solve_Succeeded,MPC,11,"[[-0.01627012168699101, 0.01756304390900435], [-0.003818718774910373, 0.00730662352883508], [-0.003522323731735392, 0.005179971131477938]]","[0.9953144192695618, 0.9953345060348511, 0.9953978657722473]"
47,0.9954357147216797,Solve_Succeeded,MPC,12,"[[-0.015929917419708742, 0.018725027092938433], [-0.0041314135923743766, 0.007639176271920005], [-0.0037805889946184645, 0.004837839415892863]]","[0.995363712310791, 0.9953842759132385, 0.9954574704170227]"
