step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.988329291343689,Solved_To_Acceptable_Level,MPC,22,"[[0.8287200382445481, -0.8697166426678018], [0.3024787487284269, -0.1665328977294555], [0.01073722385031553, 0.00036558916970374063]]","[0.9909060597419739, 0.9916632771492004, 0.9916825890541077]"
1,0.9909061193466187,Solved_To_Acceptable_Level,MPC,19,"[[0.6022883848933067, -0.5970298163514075], [0.04248589559746538, -0.02356582501280995], [-0.001956954650235943, 0.002998104480089209]]","[0.9928821921348572, 0.9929765462875366, 0.9929562211036682]"
2,0.9937381148338318,Solved_To_Acceptable_Level,MPC,6,"[[0.07402675152714726, -0.04820296264777667], [-0.00039094232634394316, 0.0019204656292642578], [-0.004762104050524909, 0.003694717488481651]]","[0.9933001399040222, 0.993280291557312, 0.9932307600975037]"
3,0.994393527507782,Solved_To_Acceptable_Level,MPC,21,"[[-0.16364198111754125, 0.16660252970564884], [-0.008629009282467317, 0.007547946387876735], [-0.004331945720655047, 0.003774783298039101]]","[0.9930574893951416, 0.9929913878440857, 0.9928891658782959]"
4,0.9944983124732971,Solved_To_Acceptable_Level,MPC,26,"[[-0.17986282098735748, 0.17686737551458606], [-0.00974434932312441, 0.007696932250067312], [-0.0037505830884456827, 0.0036815486676419645]]","[0.992944061756134, 0.9927941560745239, 0.9925161600112915]"
5,0.9944785237312317,Solve_Succeeded,MPC,25,"[[-0.1848078938553769, 0.18185066185991028], [-0.00981880428508288, 0.008106306562778658], [-0.003965491519770552, 0.0039012180126750183]]","[0.9927022457122803, 0.9922822713851929, 0.9913051128387451]"
6,0.994234561920166,Solved_To_Acceptable_Level,MPC,19,"[[-0.1955196409354109, 0.1946578271941386], [-0.010909675456711058, 0.009206223045146423], [-0.003917256027569521, 0.004094524101496462]]","[0.9918823838233948, 0.9903106689453125, 0.9860554933547974]"
7,0.993351936340332,Solved_To_Acceptable_Level,MPC,21,"[[-0.20066111550592752, 0.20098098954581786], [-0.010950023965035267, 0.00912200166417971], [-0.004033359908863375, 0.003749580255831502]]","[0.9885009527206421, 0.9808403849601746, 0.9557998776435852]"
8,0.9894061088562012,Solve_Succeeded,MPC,44,"[[-0.21592954381867796, 0.159405909905758], [0.029633465991641288, 0.43367537938755135], [-0.01634897804950166, 0.3785271871473341]]","[0.9703866839408875, 0.9393733143806458, 0.9057723879814148]"
9,0.9702040553092957,Solve_Succeeded,MPC,34,"[[-0.12258692923939735, 0.6835387954250685], [-0.02897745760205757, 0.3184838008102662], [-0.028312732918677697, 0.07471449470811273]]","[0.9160972237586975, 0.8786665201187134, 0.849575400352478]"
