episode,step,agent_id,true_dist_x,true_dist_y,eso_dist_x,eso_dist_y
1,0,0,0.0,-0.0,0.0,0.0
1,0,1,0.0,-0.0,0.0,0.0
1,1,0,3.0,-3.0,-0.03544665673301076,-0.03544699597212371
1,1,1,3.0,-3.0,-0.03544665673301945,-0.035446995972119366
1,2,0,3.0,-3.0,0.11747049387715952,0.11747362975881716
1,2,1,3.0,-3.0,0.11747049387716815,0.1174736297588432
1,3,0,3.0,-3.0,0.41868032157904245,-4.2035877600404836e-05
1,3,1,3.0,-3.0,0.4186803215790338,-4.2035877543949995e-05
1,4,0,3.0,-3.0,0.7016859472575602,-0.5356934237915119
1,4,1,3.0,-3.0,0.7016859472575615,-0.5356934237914859
1,5,0,3.0,-3.0,0.9931954720911177,-1.245133310732458
1,5,1,3.0,-3.0,0.9931954720911547,-1.2451333107324711
1,6,0,3.0,-3.0,1.309739598025813,-1.8858403441220624
1,6,1,3.0,-3.0,1.3097395980258288,-1.8858403441220712
1,7,0,3.0,-3.0,1.636006592599292,-2.3698757061345117
1,7,1,3.0,-3.0,1.636006592599285,-2.3698757061344904
1,8,0,3.0,-3.0,1.9494226214008175,-2.7045620857457218
1,8,1,3.0,-3.0,1.9494226214007702,-2.7045620857457218
1,9,0,3.0,-3.0,2.232918099737656,-2.92848788958968
1,9,1,3.0,-3.0,2.232918099737598,-2.92848788958968
1,10,0,3.0,-3.0,2.4769356259359245,-3.0764486480791566
1,10,1,3.0,-3.0,2.4769356259358735,-3.076448648079131
1,11,0,3.0,-3.0,2.6588352278569607,-3.1701115760304703
1,11,1,3.0,-3.0,2.65883522785694,-3.170111576030457
1,12,0,3.0,-3.0,2.7759622885237754,-3.223203393406449
1,12,1,3.0,-3.0,2.7759622885237984,-3.223203393406488
1,13,0,3.0,-3.0,2.8445419977200155,-3.246875927848629
1,13,1,3.0,-3.0,2.8445419977200386,-3.246875927848685
1,14,0,3.0,-3.0,2.8811094582778978,-3.2510515898178234
1,14,1,3.0,-3.0,2.881109458277903,-3.2510515898178407
1,15,0,3.0,-3.0,2.8973860454794376,-3.2438611579611365
1,15,1,3.0,-3.0,2.8973860454794598,-3.243861157961115
1,16,0,3.0,-3.0,2.9008676317190125,-3.231180490777337
1,16,1,3.0,-3.0,2.9008676317190263,-3.231180490777351
1,17,0,3.0,-3.0,2.8966642759341608,-3.2168295246774012
1,17,1,3.0,-3.0,2.8966642759342003,-3.2168295246774234
1,18,0,3.0,-3.0,2.8884438423504695,-3.2030349478614872
1,18,1,3.0,-3.0,2.8884438423505574,-3.203034947861509
1,19,0,3.0,-3.0,2.878781856887405,-3.190979711771649
1,19,1,3.0,-3.0,2.8787818568874926,-3.1909797117716625
1,20,0,3.0,-3.0,2.869316034087669,-3.1811133530753617
1,20,1,3.0,-3.0,2.869316034087739,-3.1811133530753617
1,21,0,3.0,-3.0,2.8609698216207926,-3.1734878145760317
1,21,1,3.0,-3.0,2.8609698216208237,-3.1734878145760708
1,22,0,3.0,-3.0,2.8541204523479142,-3.1679169446662003
1,22,1,3.0,-3.0,2.8541204523479142,-3.167916944666283
1,23,0,3.0,-3.0,2.848816880833874,-3.1640223796869624
1,23,1,3.0,-3.0,2.8488168808338736,-3.1640223796869975
1,24,0,3.0,-3.0,2.8448933734595374,-3.1614901532707798
1,24,1,3.0,-3.0,2.8448933734595068,-3.1614901532706976
1,25,0,3.0,-3.0,2.8421753324167596,-3.1599615695961902
1,25,1,3.0,-3.0,2.842175332416734,-3.1599615695960774
1,26,0,3.0,-3.0,2.8404065556069407,-3.1591790161660636
1,26,1,3.0,-3.0,2.8404065556069322,-3.1591790161659987
1,27,0,3.0,-3.0,2.839345510259966,-3.158857870162076
1,27,1,3.0,-3.0,2.8393455102600185,-3.1588578701620893
1,28,0,3.0,-3.0,2.83877270763008,-3.158828272638425
1,28,1,3.0,-3.0,2.838772707630141,-3.1588282726384946
1,29,0,3.0,-3.0,2.838560850251954,-3.158976503982085
1,29,1,3.0,-3.0,2.8385608502519193,-3.1589765039821414
1,30,0,3.0,-3.0,2.8385673655472763,-3.159208207849128
1,30,1,3.0,-3.0,2.838567365547198,-3.1592082078491495
1,31,0,3.0,-3.0,2.8386894278500163,-3.159459419263536
1,31,1,3.0,-3.0,2.8386894278499124,-3.159459419263523
1,32,0,3.0,-3.0,2.838870053990285,-3.159686315572463
1,32,1,3.0,-3.0,2.8388700539902505,-3.159686315572424
1,33,0,3.0,-3.0,2.8390609188093916,-3.159896380173784
1,33,1,3.0,-3.0,2.8390609188094267,-3.159896380173723
1,34,0,3.0,-3.0,2.839259306823549,-3.1600475830066914
1,34,1,3.0,-3.0,2.8392593068236107,-3.160047583006665
1,35,0,3.0,-3.0,2.8394065255629584,-3.16015838892536
1,35,1,3.0,-3.0,2.8394065255629943,-3.160158388925334
1,36,0,3.0,-3.0,2.839532793198307,-3.1602310570685166
1,36,1,3.0,-3.0,2.8395327931983,-3.160231057068487
1,37,0,3.0,-3.0,2.839641004341165,-3.160264114410806
1,37,1,3.0,-3.0,2.839641004341114,-3.1602641144107975
1,38,0,3.0,-3.0,2.839728334213151,-3.160276880743714
1,38,1,3.0,-3.0,2.8397283342131345,-3.160276880743723
1,39,0,3.0,-3.0,2.8397948981849597,-3.160278936159802
