episode,step,agent_id,solver_status,solve_time,action_x,action_y,feasible,eso_action_x,eso_action_y,compensated_x,compensated_y
1,0,0,mpc_success,0.01,8.453826493057054,6.301071177697128,True,8.453826493057054,6.301071177697128,8.453826493057054,6.301071177697128
1,0,1,mpc_success,0.01,-8.941382127707277,-2.756117066828474,True,-8.941382127707277,-2.756117066828474,-8.941382127707277,-2.756117066828474
1,0,2,mpc_success,0.01,3.551020957328617,-8.402131592429294,True,3.551020957328617,-8.402131592429294,3.551020957328617,-8.402131592429294
1,0,3,mpc_success,0.01,8.241458535132137,-9.0042054041078,True,8.241458535132137,-9.0042054041078,8.241458535132137,-9.0042054041078
1,0,4,mpc_success,0.01,8.28720038244548,-8.697166426678017,True,8.28720038244548,-8.697166426678017,8.28720038244548,-8.697166426678017
1,0,5,mpc_success,0.01,8.893294641846401,-8.224091306665363,True,8.893294641846401,-8.224091306665363,8.893294641846401,-8.224091306665363
1,1,0,mpc_success,0.01,6.015640311074551,4.889124064885825,True,6.015640311074551,4.889124064885825,6.048702046598331,4.913766674828745
1,1,1,mpc_success,0.01,-5.972384110832112,-2.2154839524556293,True,-5.972384110832112,-2.2154839524556293,-6.007352608395446,-2.2262627416359977
1,1,2,mpc_success,0.01,2.8526551116841885,-6.018312524297312,True,2.8526551116841885,-6.018312524297312,2.8665426590364964,-6.051172088279731
1,1,3,mpc_success,0.01,6.025291792205288,-6.048995015088503,True,6.025291792205288,-6.048995015088503,6.057522986285568,-6.084209205717662
1,1,4,mpc_success,0.01,6.022883848933067,-5.970298163514075,True,6.022883848933067,-5.970298163514075,6.055293932994058,-6.0043115675555745
1,1,5,mpc_success,0.01,5.949337017856089,-6.033829620584898,True,5.949337017856089,-6.033829620584898,5.984117451973738,-6.065992893858569
1,2,0,mpc_success,0.01,0.6225116252131754,2.618280700761982,True,0.6225116252131754,2.618280700761982,0.5138982848727243,2.538910898241153
1,2,1,mpc_success,0.01,-0.36190982558199136,-1.6607832269776104,True,-0.36190982558199136,-1.6607832269776104,-0.24550645480073752,-1.6263674916368356
1,2,2,mpc_success,0.01,2.175047340975351,-0.6594056028299359,True,2.175047340975351,-0.6594056028299359,2.130698547096789,-0.5516107433421666
1,2,3,mpc_success,0.01,0.7703145520311333,-0.35513728385697113,True,0.7703145520311333,-0.35513728385697113,0.6650584282859,-0.23805155254209615
1,2,4,mpc_success,0.01,0.7402675152714725,-0.48202962647776665,True,0.7402675152714725,-0.48202962647776665,0.6342869948997187,-0.369435373038957
1,2,5,mpc_success,0.01,0.3787366542332869,-0.7873833221965106,True,0.3787366542332869,-0.7873833221965106,0.26299479308023277,-0.6824320515570514
1,3,0,mpc_success,0.01,-1.6486308152759725,1.3417766366067054,True,-1.6486308152759725,1.3417766366067054,-2.062611656620609,1.4066202517943172
1,3,1,mpc_success,0.01,-0.492107528189899,-0.8960289375314099,True,-0.492107528189899,-0.8960289375314099,-0.4969514324363087,-0.6194036800972014
1,3,2,mpc_success,0.01,1.2053656847598149,1.6475998477008762,True,1.2053656847598149,1.6475998477008762,0.9104827690822684,2.0608077198666517
1,3,3,mpc_success,0.01,-1.6295587165673564,1.6883876032976954,True,-1.6295587165673564,1.6883876032976954,-2.040358100974622,2.107471614070589
1,3,4,mpc_success,0.01,-1.6364198111754125,1.6660252970564884,True,-1.6364198111754125,1.6660252970564884,-2.0478923106734643,2.083002779482497
1,3,5,mpc_success,0.01,-1.6747169376127469,1.633003222790087,True,-1.6747169376127469,1.633003222790087,-2.0937484194209164,2.043644064158735
1,4,0,mpc_success,0.01,-1.7854763751403275,1.969957996182506,True,-1.7854763751403275,1.969957996182506,-2.4956305894070487,2.494822759599088
1,4,1,mpc_success,0.01,-2.5550202916085367,0.020033896813535425,True,-2.5550202916085367,0.020033896813535425,-3.0943549816722706,0.706929033421473
1,4,2,mpc_success,0.01,0.20425320931271088,1.7919464231462825,True,0.20425320931271088,1.7919464231462825,-0.49876586131965395,2.5023561108795063
1,4,3,mpc_success,0.01,-1.8025644642556466,1.7366232592180044,True,-1.8025644642556466,1.7366232592180044,-2.513717871191756,2.441089147439514
1,4,4,mpc_success,0.01,-1.7986282098735746,1.7686737551458604,True,-1.7986282098735746,1.7686737551458604,-2.5095719782292862,2.47753663593494
1,4,5,mpc_success,0.01,-1.7500648414440427,1.8116870826320999,True,-1.7500648414440427,1.8116870826320999,-2.4574164983326137,2.5229399700900625
1,5,0,mpc_success,0.01,-1.8353430219812816,2.7744367246803763,True,-1.8353430219812816,2.7744367246803763,-2.847012188907833,3.9467259675171196
1,5,1,mpc_success,0.01,-3.493985278636507,0.8831435829225626,True,-3.493985278636507,0.8831435829225626,-4.738122571098008,2.033528061000673
1,5,2,mpc_success,0.01,-1.4335617508407434,1.834734239204131,True,-1.4335617508407434,1.834734239204131,-2.564212893037377,2.847178414954522
1,5,3,mpc_success,0.01,-1.8533530448535078,1.8016198289759948,True,-1.8533530448535078,1.8016198289759948,-2.8681977762330404,2.8007117141817472
1,5,4,mpc_success,0.01,-1.848078938553769,1.8185066185991028,True,-1.848078938553769,1.8185066185991028,-2.8622284096319133,2.826706783994141
1,5,5,mpc_success,0.01,-1.8077371819472505,1.8479705637509738,True,-1.8077371819472505,1.8479705637509738,-2.81243530776431,2.862931489403886
1,6,0,mpc_success,0.01,-1.9557189795148593,2.997937731598146,True,-1.9557189795148593,2.997937731598146,-3.2895007951333555,4.809708497502588
1,6,1,mpc_success,0.01,-3.3175731827109183,1.5837009715181574,True,-3.3175731827109183,1.5837009715181574,-5.1988550875601645,3.155437509897364
