episode,step,agent_id,axis,true_pos,eso_pos,pos_error,true_vel,eso_vel,vel_error,true_dist,eso_dist,dist_error,measurement_error
1,0,0,x,0.02213927624099643,0.02213927624099643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,y,1.4813929783168627,1.4813929783168627,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1,0,1,x,3.5172952134457356,3.5172952134457356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,y,2.4250910603096205,2.4250910603096205,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1,0,2,x,2.125387290423788,2.125387290423788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2,y,2.449100680802836,2.449100680802836,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1,0,3,x,0.6293646668676445,0.6293646668676445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,3,y,2.808119168449463,2.808119168449463,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1,0,4,x,1.1070374825451799,1.1070374825451799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,4,y,3.5710000794150174,3.5710000794150174,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1,0,5,x,2.306352115384903,2.306352115384903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,5,y,3.7599043738299676,3.7599043738299676,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1,1,0,x,0.02213927624099643,0.02437954026165655,0.002240264020660118,0.2536147947917116,0.24873397579026274,-0.004880819001448877,3.0,-0.03306173552378006,-3.03306173552378,0.002240264020660118
1,1,0,y,1.4813929783168627,1.4830627621789523,0.0016697838620896022,0.18903213533091384,0.18539421019028768,-0.0036379251406261637,-3.0,-0.024642609942919374,2.9753573900570807,0.0016697838620896022
1,1,1,x,3.5172952134457356,3.514925747181893,-0.00236946626384249,-0.2682414638312183,-0.2630791544528592,0.005162309378359098,3.0,0.03496849756333401,-2.965031502436666,-0.00236946626384249
1,1,1,y,2.4250910603096205,2.4243606892869107,-0.0007303710227097859,-0.08268351200485421,-0.08109226707440244,0.0015912449304517767,-3.0,0.010778789180368134,3.0107787891803683,-0.0007303710227097859
1,1,2,x,2.125387290423788,2.12632831097748,0.0009410205536921623,0.10653062871985851,0.1044804458142481,-0.0020501829056104037,3.0,-0.013887547352308008,-3.013887547352308,0.0009410205536921623
1,1,2,y,2.449100680802836,2.4468741159308425,-0.002226564871993464,-0.2520639477728788,-0.24721297483622343,0.004850972936655401,-3.0,0.03285956398241893,3.0328595639824187,-0.002226564871993464
1,1,3,x,0.6293646668676445,0.6315486533794544,0.0021839865118099544,0.24724375605396412,0.24248554775019052,-0.004758208303773603,3.0,-0.032231194080280044,-3.03223119408028,0.0021839865118099544
1,1,3,y,2.808119168449463,2.805733054017374,-0.002386114432088693,-0.270126162123234,-0.2649275817093346,0.005198580413899367,-3.0,0.035214190629159474,3.0352141906291594,-0.002386114432088693
1,1,4,x,1.1070374825451799,1.1092335906465278,0.00219610810134796,0.2486160114733644,0.2438313941017306,-0.004784617371633798,3.0,-0.0324100840609908,-3.0324100840609907,0.00219610810134796
1,1,4,y,3.5710000794150174,3.5686953303119475,-0.002304749103069881,-0.2609149928003405,-0.2558936814227118,0.005021311377628679,-3.0,0.034013404041499426,3.034013404041499,-0.002304749103069881
1,1,5,x,2.306352115384903,2.3087088384649923,0.0023567230800893846,0.266798839255392,0.2616642931999388,-0.005134546055453215,3.0,-0.034780434117649334,-3.0347804341176494,0.0023567230800893846
1,1,5,y,3.7599043738299676,3.7577249896337013,-0.0021793841962662874,-0.24672273919996088,-0.24197455787021746,0.004748181329743417,-3.0,0.03216327327367126,3.0321632732736714,-0.0021793841962662874
1,2,0,x,0.02974772008474778,0.0356128712208594,0.0058651511361116175,0.5250758561896616,0.45470901195487157,-0.07036684423479,3.0,0.10861334034045113,-2.891386659659549,0.0058651511361116175
1,2,0,y,1.4870639423767902,1.4915429607752901,0.0044790183984999565,0.24644513557577616,0.3508447014419187,0.10439956586614255,-3.0,0.07936980252082898,3.079369802520829,0.0044790183984999565
1,2,1,x,3.509247969530799,3.503147960492804,-0.006100009037994791,-0.35846204208308163,-0.46945277554063297,-0.11099073345755134,3.0,-0.11640337078125385,-3.1164033707812537,-0.006100009037994791
1,2,1,y,2.422610554949475,2.420631017898378,-0.00197953705109688,-0.23947139425393413,-0.1557253973020711,0.08374599695186302,-3.0,-0.03441573534077482,2.965584264659225,-0.00197953705109688
1,2,2,x,2.1285832092853836,2.1311331946740895,0.0025499853887058777,0.2825269084909534,0.20058569906289925,-0.08194120942805416,3.0,0.04434879387856185,-2.955651206121438,0.0025499853887058777
1,2,2,y,2.4415387623696496,2.4356990201760143,-0.005839742193635367,-0.5235991104212707,-0.45308942911538147,0.07050968130588925,-3.0,-0.1077948594877692,2.892205140512231,-0.005839742193635367
1,2,3,x,0.6367819795492634,0.6425423966866757,0.005760417137412266,0.5189694456425311,0.4480165777663115,-0.07095286787621963,3.0,0.10525612374523331,-2.8947438762547666,0.005760417137412266
1,2,3,y,2.800015383585766,2.793863333348238,-0.006152050237528073,-0.5426524382947638,-0.47377065115095335,0.06888178714381049,-3.0,-0.117085731314875,2.882914268685125,-0.006152050237528073
1,2,4,x,1.1144959628893807,1.120278851424397,0.005782888535016406,0.5202748294631862,0.4494483749930878,-0.07082645447009833,3.0,0.10598052037175372,-2.894019479628246,0.005782888535016406
