step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.7092577815055847,Solve_Succeeded,MPC,5,"[[0.44014771164336236, -0.3621837568589463], [0.27252878915693374, -0.21868845442753274], [0.12258041795373051, -0.10065424198079978]]","[0.6566438674926758, 0.5989596247673035, 0.5455093383789062]"
1,0.6391171216964722,Solved_To_Acceptable_Level,MPC,6,"[[0.3937279895334116, -0.2723291999769545], [0.22049154800330223, -0.17321355426193397], [0.09601670037977068, -0.08040556567153724]]","[0.4814426004886627, 0.3638160824775696, 0.34827253222465515]"
2,0.5037321448326111,Solved_To_Acceptable_Level,MPC,14,"[[0.4125152379535703, -0.04085269635723938], [0.16060246602611195, -0.06861164557494914], [0.0059277707963094175, -0.07134377108217506]]","[0.3766491711139679, 0.29474157094955444, 0.2321591079235077]"
3,0.3759970963001251,Solved_To_Acceptable_Level,MPC,15,"[[0.10064458438645836, 0.30483380614948336], [0.011445609251422316, 0.23591989836218563], [0.0008077557532036543, 0.17344348612689112]]","[0.3524187207221985, 0.3076445460319519, 0.2767045795917511]"
4,0.3632429540157318,Solve_Succeeded,MPC,15,"[[-0.18865223330122952, 0.3899294805227439], [-0.03143196936258366, 0.22629589929406357], [0.011958165151329348, 0.13695534164560855]]","[0.4118717610836029, 0.36870208382606506, 0.3485933840274811]"
5,0.30895301699638367,Solved_To_Acceptable_Level,MPC,18,"[[-0.23279426934267072, 0.31918273017485543], [-0.036028982983663985, 0.21606955648427045], [0.02853197806779595, 0.15038712116107913]]","[0.39612069725990295, 0.3633480668067932, 0.36463358998298645]"
6,0.23797118663787842,Solve_Succeeded,MPC,18,"[[-0.21580463655250848, 0.23894106734265202], [-0.024590542430461756, 0.1998539376078442], [0.01766466121100081, 0.14991321311680605]]","[0.32149824500083923, 0.2977689206600189, 0.2960056662559509]"
7,0.18061167001724243,Solve_Succeeded,MPC,14,"[[-0.18106400679452886, 0.22649869058317323], [-0.026616190006738257, 0.23319169081980937], [0.0013829739954124248, 0.15085810234147298]]","[0.2565562129020691, 0.24004191160202026, 0.23336873948574066]"
8,0.15119284391403198,Solved_To_Acceptable_Level,MPC,14,"[[-0.18379807469178258, 0.29743400449479823], [-0.025237652712346986, 0.2002597786778977], [0.010832544881267498, 0.15013090229327136]]","[0.21022216975688934, 0.2028960883617401, 0.21133625507354736]"
9,0.137979194521904,Solved_To_Acceptable_Level,MPC,14,"[[-0.15960879729661812, 0.25445282760512006], [-0.03435831660962688, 0.1634187949017052], [0.0012340578196559685, 0.11230607993736137]]","[0.19808652997016907, 0.1969723105430603, 0.20333720743656158]"
10,0.13006725907325745,Solved_To_Acceptable_Level,MPC,54,"[[-0.1567196128816563, 0.18841384572545783], [-0.039732239560920854, 0.10978459380841417], [0.02513294348097699, 0.10829086972251556]]","[0.19405145943164825, 0.19709983468055725, 0.21454422175884247]"
11,0.13381963968276978,Solved_To_Acceptable_Level,MPC,28,"[[-0.4500307694964311, -0.3025443356351399], [0.3782321293367005, 0.6190341710159389], [-0.07224086479218264, -0.04354875564192477]]","[0.21194866299629211, 0.2038029283285141, 0.2191474884748459]"
12,0.16353687644004822,Solve_Succeeded,MPC,50,"[[0.28401408238007897, 0.5629566542841303], [-0.17146028236213956, -0.21042482662665946], [-0.08140849548606312, -0.097229225546186]]","[0.2190045863389969, 0.2520686984062195, 0.28085777163505554]"
13,0.13380654156208038,Solve_Succeeded,MPC,5,"[[-0.23529487203277155, -0.23701746697236964], [-0.15118001239450662, -0.14261681044394026], [-0.07291779407157098, -0.06426358100432471]]","[0.25266125798225403, 0.27872198820114136, 0.3294001519680023]"
14,0.1779358983039856,Solve_Succeeded,MPC,6,"[[-0.23310074226409752, -0.19993037507083397], [-0.15071712222590375, -0.11869955318749617], [-0.07019296902826683, -0.05308000967094251]]","[0.2989591360092163, 0.360738605260849, 0.4467757046222687]"
