step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9937369227409363,Solved_To_Acceptable_Level,MPC,14,"[[0.7616644716671973, 0.7878994332419507], [0.4213169924673008, 0.3866571238175148], [0.04890229544763515, 0.028306319067251562]]","[0.9937515258789062, 0.9937662482261658, 0.9937577843666077]"
1,0.9937534928321838,Solved_To_Acceptable_Level,MPC,10,"[[0.5688960354353044, 0.5929367316610707], [0.13123578790121151, 0.08192711421769558], [0.00591865487801161, 0.0010815677176663062]]","[0.9936985969543457, 0.9937295317649841, 0.993730366230011]"
2,0.9940206408500671,Solved_To_Acceptable_Level,MPC,5,"[[0.150273536012272, 0.11193495235196599], [0.007739232857720607, 0.0029518753717509036], [-0.0037667724298031382, -0.003914474674372458]]","[0.9937407374382019, 0.9937419295310974, 0.9937390685081482]"
3,0.9945318698883057,Solved_To_Acceptable_Level,MPC,14,"[[-0.14590352219003783, 0.05525780558466939], [-0.01070646694835169, -0.000127779413757472], [-0.005199442757974819, -0.003545987884662859]]","[0.9937196373939514, 0.9937115907669067, 0.9937079548835754]"
4,0.994750440120697,Solve_Succeeded,MPC,17,"[[-0.18797382708075322, 0.23520743677078837], [-0.013557590714380598, 0.011972363907869845], [-0.004526086600239796, -0.003014769287583698]]","[0.9936901926994324, 0.9936760067939758, 0.9936726689338684]"
5,0.9947850704193115,Solve_Succeeded,MPC,25,"[[-0.19085080649575162, 0.33523381590080964], [-0.014357858726773243, 0.02143489020501663], [-0.0045279621323230206, -0.002205490354623851]]","[0.9936795830726624, 0.9936628341674805, 0.9936595559120178]"
6,0.9946901798248291,Solved_To_Acceptable_Level,MPC,23,"[[-0.19712414215060226, 0.33006899295461933], [-0.015524636707637342, 0.021307345654728797], [-0.002809492277117847, -0.0023696045303541764]]","[0.9936966300010681, 0.993686854839325, 0.9936922788619995]"
7,0.9946103692054749,Solved_To_Acceptable_Level,MPC,20,"[[-0.20012465102210025, 0.2663591548842284], [-0.016111422809637666, 0.015212265433800911], [-0.005301039061004561, -0.002458578513728163]]","[0.9937247633934021, 0.9937167167663574, 0.9937208890914917]"
8,0.994443953037262,Solve_Succeeded,MPC,14,"[[-0.19233842803295398, 0.1826521780561196], [-0.015697282620965976, 0.008047411324903955], [-0.005285948331189353, -0.002898636819337275]]","[0.993755578994751, 0.993751049041748, 0.9937562942504883]"
9,0.9942777752876282,Solve_Succeeded,MPC,16,"[[-0.17445037009275574, 0.11370730227894618], [-0.014485896413709797, 0.0033199964768469165], [-0.005598413439171305, -0.0030091738576470796]]","[0.9937923550605774, 0.9937925338745117, 0.9938014149665833]"
10,0.9941480755805969,Solved_To_Acceptable_Level,MPC,14,"[[-0.1474533262763734, 0.06739559138966297], [-0.01378102124201068, 0.0016283114081957835], [-0.00460612941302044, -0.003822090399237269]]","[0.9938381314277649, 0.9938433766365051, 0.9938535690307617]"
11,0.994052529335022,Solve_Succeeded,MPC,12,"[[-0.11072441270666937, 0.0383512148379055], [-0.011465950932121194, -0.001707143422640493], [-0.005239887383685299, -0.0031237187765104256]]","[0.9938797950744629, 0.993888795375824, 0.9939016699790955]"
12,0.993992805480957,Solved_To_Acceptable_Level,MPC,12,"[[-0.07764066517409544, 0.015312714730723286], [-0.010573225215264931, -0.001667519395594544], [-0.0042146044492596966, -0.004921997588630455]]","[0.9938996434211731, 0.9939097762107849, 0.99391770362854]"
13,0.993959903717041,Solved_To_Acceptable_Level,MPC,9,"[[-0.05486693371842759, -0.0010624378052688178], [-0.009080675851244393, -0.0031886082213767137], [-0.003517248062164539, -0.0035657454165549957]]","[0.9939159154891968, 0.9939166307449341, 0.9939170479774475]"
14,0.9939363598823547,Solve_Succeeded,MPC,10,"[[-0.03801653643122709, -0.011602607111003737], [-0.006922702363764655, -0.0037982363709499105], [-0.004464814181143448, -0.004091442370302712]]","[0.9939177632331848, 0.9939167499542236, 0.993916392326355]"
15,0.9939181804656982,Solve_Succeeded,MPC,11,"[[-0.026569264066135766, -0.01898546395888982], [-0.006639668482573726, -0.0040786359360260845], [-0.005250053932971505, -0.00400718187560871]]","[0.9939173460006714, 0.9939149022102356, 0.9939023852348328]"
16,0.9939100742340088,Solve_Succeeded,MPC,11,"[[-0.020813869685074402, -0.022389787876352565], [-0.0057163441635170184, -0.004530844880973708], [-0.004979658049416955, -0.003971096054074933]]","[0.9939152002334595, 0.9939029216766357, 0.9938884973526001]"
17,0.9939070343971252,Solve_Succeeded,MPC,11,"[[-0.016496664990385237, -0.023633536493809424], [-0.0053503444733664016, -0.004968989481463294], [-0.0047587626014065415, -0.0038881036116426657]]","[0.9939032793045044, 0.9938889145851135, 0.9938684105873108]"
18,0.9939071536064148,Solve_Succeeded,MPC,10,"[[-0.013883824901757262, -0.023499057539055644], [-0.005425512774311748, -0.005140390050028605], [-0.004674278668724929, -0.004018230368115446]]","[0.9938889741897583, 0.993868350982666, 0.9938382506370544]"
19,0.9939067959785461,Solve_Succeeded,MPC,10,"[[-0.013005286423757461, -0.02322128057876464], [-0.005271882763796506, -0.005104884806220089], [-0.004847655952410565, -0.004048329566953507]]","[0.9938681125640869, 0.9938383102416992, 0.9937925934791565]"
20,0.9938901662826538,Solve_Succeeded,MPC,10,"[[-0.012937911165916194, -0.022046898430082208], [-0.005350943631922559, -0.005208627965091521], [-0.004903661782868884, -0.0038953887576723316]]","[0.9938372373580933, 0.9937908053398132, 0.9936792850494385]"
21,0.9938613772392273,Solve_Succeeded,MPC,10,"[[-0.01329957613873584, -0.02093687120808763], [-0.005809539317571746, -0.00492666529853211], [-0.004933834341020582, -0.004165068994655712]]","[0.9937870502471924, 0.9936763644218445, 0.9934959411621094]"
22,0.9938008785247803,Solve_Succeeded,MPC,9,"[[-0.01431659106460066, -0.019907931257326206], [-0.006303467124785806, -0.005191793283363357], [-0.004809796727903137, -0.004097184581238728]]","[0.993671715259552, 0.9934894442558289, 0.9932418465614319]"
23,0.9936883449554443,Solve_Succeeded,MPC,9,"[[-0.014824735436182223, -0.018971587622304213], [-0.006979889262617236, -0.005139706861633587], [-0.0051041482536794336, -0.004073563310164075]]","[0.9934824109077454, 0.9932411313056946, 0.9931125640869141]"
24,0.9935149550437927,Solve_Succeeded,MPC,9,"[[-0.015870944997482553, -0.018240598609311792], [-0.007652281974059034, -0.0050754478271247214], [-0.005092455797166299, -0.004024645875986483]]","[0.993233859539032, 0.99311763048172, 0.9930776953697205]"
25,0.9932632446289062,Solve_Succeeded,MPC,9,"[[-0.0167374328034272, -0.017663860557586546], [-0.008344494237755143, -0.005077252473382685], [-0.005313212033575796, -0.004025867770427876]]","[0.9931226372718811, 0.9930840730667114, 0.9929943680763245]"
26,0.9931053519248962,Solved_To_Acceptable_Level,MPC,9,"[[-0.01769294091656421, -0.017273619095460446], [-0.008897155381151718, -0.005266844675081615], [-0.005677846071057542, -0.003892363148035847]]","[0.9930868744850159, 0.9929817914962769, 0.9926947355270386]"
27,0.9930701851844788,Solve_Succeeded,MPC,11,"[[-0.018614204840786117, -0.017042278506815927], [-0.00937720379536139, -0.0050327580912990265], [-0.006168354869107834, -0.003917873948269257]]","[0.9929718971252441, 0.9926849007606506, 0.9924452900886536]"
28,0.9930620193481445,Solve_Succeeded,MPC,10,"[[-0.019630225836193376, -0.016713670853871997], [-0.010157586642487938, -0.005392781165766431], [-0.006142503532349947, -0.0040506756360125466]]","[0.9926736950874329, 0.992426872253418, 0.9921082258224487]"
29,0.992825448513031,Solve_Succeeded,MPC,10,"[[-0.020802786329521403, -0.016706807869953256], [-0.010540224527741107, -0.005643966131720748], [-0.0061740171621439514, -0.004287525243640073]]","[0.9924106001853943, 0.9920825362205505, 0.991692304611206]"
30,0.9925941824913025,Solve_Succeeded,MPC,10,"[[-0.021935765994462293, -0.01694543044110083], [-0.011281518546658162, -0.005700918185049578], [-0.006636243886880034, -0.004344241834462962]]","[0.9920607805252075, 0.9916628003120422, 0.9911816120147705]"
31,0.9922817945480347,Solve_Succeeded,MPC,10,"[[-0.02302029121257285, -0.016981779884196878], [-0.012934543931450007, -0.005794638513794959], [-0.007536697375787684, -0.004375619407019701]]","[0.9916355013847351, 0.9911440014839172, 0.9904186725616455]"
32,0.9919164180755615,Solve_Succeeded,MPC,11,"[[-0.025339688693567362, -0.017047948072631783], [-0.01612232857723088, -0.005981152002708072], [-0.009401991801277114, -0.0044877218075100155]]","[0.9911125302314758, 0.9903597831726074, 0.9894736409187317]"
33,0.9914570450782776,Solve_Succeeded,MPC,11,"[[-0.029401601465849525, -0.017123944358606116], [-0.020840661196588627, -0.006130170084290823], [-0.011960094993977682, -0.004540659672762423]]","[0.9903087019920349, 0.9894052147865295, 0.9884422421455383]"
34,0.990795373916626,Solved_To_Acceptable_Level,MPC,11,"[[-0.03699221602181712, -0.017249052760083913], [-0.02808891799532691, -0.006180857588488982], [-0.015943437144380235, -0.00450473923404148]]","[0.9893461465835571, 0.9883639216423035, 0.9870455861091614]"
35,0.9899230003356934,Solved_To_Acceptable_Level,MPC,11,"[[-0.04961424624609562, -0.01739270363753713], [-0.03766618904531911, -0.006317804409153816], [-0.020711131821628398, -0.004571213776281326]]","[0.9882961511611938, 0.9869038462638855, 0.9854512214660645]"
36,0.9889203310012817,Solved_To_Acceptable_Level,MPC,11,"[[-0.0656276862981345, -0.017508868340164834], [-0.04766512041531295, -0.006614847044411758], [-0.025427684324387932, -0.00468415401003977]]","[0.9867932796478271, 0.9852725863456726, 0.9836124777793884]"
37,0.9876376986503601,Solved_To_Acceptable_Level,MPC,11,"[[-0.07947523214224013, -0.017782820959141098], [-0.055829905410596514, -0.006997088105021689], [-0.02886148209199707, -0.004916252374328475]]","[0.9851332902908325, 0.9834288954734802, 0.9816502928733826]"
38,0.9859912991523743,Solved_To_Acceptable_Level,MPC,11,"[[-0.09048516790339513, -0.01796906724857378], [-0.061983572089590745, -0.00755867211104185], [-0.031097156781626528, -0.0052010804110457255]]","[0.9832669496536255, 0.9814717769622803, 0.9795976877212524]"
39,0.9842032790184021,Solved_To_Acceptable_Level,MPC,10,"[[-0.09798217124121897, -0.018160660340572076], [-0.0654057782046728, -0.00856119434064312], [-0.032214285657366754, -0.005667792529086932]]","[0.9812986850738525, 0.9794009923934937, 0.9777143597602844]"
40,0.9822254776954651,Solve_Succeeded,MPC,10,"[[-0.10046750941208629, -0.019083449575677966], [-0.06682365120443193, -0.008537343943944224], [-0.0324339896312297, -0.006625941368170162]]","[0.9792275428771973, 0.97756427526474, 0.9758793711662292]"
41,0.980181872844696,Solve_Succeeded,MPC,9,"[[-0.10210406093349472, -0.019246152944940094], [-0.06719150485261122, -0.009909384088521565], [-0.03236858985197498, -0.006709113477015863]]","[0.9774289727210999, 0.9757667779922485, 0.974082350730896]"
42,0.9784051179885864,Solve_Succeeded,MPC,9,"[[-0.10185197956849758, -0.019792844617990007], [-0.06633688532742556, -0.010474343105310863], [-0.03273193150066988, -0.007185713145997814]]","[0.9756371974945068, 0.9739817380905151, 0.9722970128059387]"
43,0.9765408039093018,Solve_Succeeded,MPC,5,"[[-0.10145091218018734, -0.02109201515197312], [-0.06486389632241008, -0.01061768036205721], [-0.030637854393896793, -0.007370703256995378]]","[0.9738451242446899, 0.9721181988716125, 0.9702387452125549]"
44,0.974773645401001,Solve_Succeeded,MPC,4,"[[-0.09881816051954656, -0.02209874307817066], [-0.06220926110417838, -0.011576660121899274], [-0.028621271336818445, -0.007652187586917566]]","[0.9719669818878174, 0.9699564576148987, 0.9679816365242004]"
45,0.973044753074646,Solve_Succeeded,MPC,4,"[[-0.09531634392677345, -0.023141383959901493], [-0.06038921939276473, -0.01361814579534237], [-0.028659171498554407, -0.008918000153092291]]","[0.9697592854499817, 0.9676846861839294, 0.9656732678413391]"
46,0.9711135625839233,Solve_Succeeded,MPC,4,"[[-0.09072922371334656, -0.025383754872244927], [-0.0577930141297828, -0.016641105885052528], [-0.028007764987883377, -0.01100820009701153]]","[0.9674886465072632, 0.9653328061103821, 0.9632211923599243]"
