step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9821773171424866,Solve_Succeeded,MPC,17,"[[0.3209782943235829, -0.882786534281089], [0.1928637161359939, -0.10843685128990344], [0.0869922070832561, 0.0004967692202879967]]","[0.9869616031646729, 0.9871724843978882, 0.9870686531066895]"
1,0.9869702458381653,Solve_Succeeded,MPC,16,"[[0.2566681803483519, -0.5948887002958204], [0.1521574096063966, -0.019564566275481823], [0.06828403957325722, 0.002996344298839511]]","[0.9891833662986755, 0.989361047744751, 0.989335834980011]"
2,0.9908730387687683,Solve_Succeeded,MPC,12,"[[0.1927831689674314, -0.04133302930194259], [0.1102517643835629, 0.002149311307830295], [0.04599526837793757, 0.003630931758814915]]","[0.989931583404541, 0.9899388551712036, 0.9898883700370789]"
3,0.9923433661460876,Solved_To_Acceptable_Level,MPC,20,"[[0.10658534100366074, 0.16693752137389412], [0.058393350667230906, 0.007505039640151103], [0.02323729683947991, 0.003651797490221318]]","[0.9895751476287842, 0.9895332455635071, 0.9894567728042603]"
4,0.9927076697349548,Solve_Succeeded,MPC,19,"[[0.009364450688671007, 0.17574209398048626], [0.0018086715208109965, 0.007530393905668553], [-0.0022707620763540697, 0.0037703699738925118]]","[0.9896337389945984, 0.989467978477478, 0.9893064498901367]"
5,0.992749035358429,Solve_Succeeded,MPC,25,"[[-0.09026539941637601, 0.18126143940941492], [-0.056405734624745484, 0.007738797074300437], [-0.02934168006800364, 0.003697118603482813]]","[0.9894374012947083, 0.9892112612724304, 0.9889776110649109]"
6,0.9926130771636963,Solved_To_Acceptable_Level,MPC,20,"[[-0.18363953193115917, 0.19461180663809377], [-0.09653763957638994, 0.00937786710162091], [-0.0451477507775619, 0.003030439568080867]]","[0.9890913963317871, 0.9887673854827881, 0.98833829164505]"
7,0.9923757314682007,Solve_Succeeded,MPC,20,"[[-0.21808544909829197, 0.20107193978451773], [-0.11659278188318963, 0.008351569744248562], [-0.05747453629461418, 0.0037295344800030205]]","[0.9886584877967834, 0.988032877445221, 0.9869381785392761]"
8,0.9919748902320862,Solve_Succeeded,MPC,18,"[[-0.21699850012447755, 0.1935314747854741], [-0.13696067592599429, 0.008387004419118839], [-0.06495410178818879, 0.0034977072715966853]]","[0.9879412055015564, 0.9864352345466614, 0.9824357032775879]"
9,0.9913578629493713,Solved_To_Acceptable_Level,MPC,23,"[[-0.23199973230456036, 0.1750173208124738], [-0.14539388966403616, 0.007980306868019522], [-0.072381235342422, 0.002572193679475542]]","[0.9873439073562622, 0.9855265617370605, 0.9816040992736816]"
10,0.9905248880386353,Solve_Succeeded,MPC,27,"[[-0.22620891525507256, 0.1502608361514041], [-0.14664348005099362, 0.00719001532151738], [-0.07105557565586888, 0.0037236765765709915]]","[0.9868195056915283, 0.9854398965835571, 0.9835016131401062]"
