step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.991613507270813,Solved_To_Acceptable_Level,MPC,11,"[[0.7776378623250971, -0.4804340249815154], [0.4054341361034219, -0.3016688797579109], [0.032303205203479075, -0.13869953893564788]]","[0.9927818179130554, 0.993698000907898, 0.993949830532074]"
1,0.9927752017974854,Solve_Succeeded,MPC,8,"[[0.5859366009865081, -0.39996253353679306], [0.09881032499792472, -0.24218393315642966], [0.002638434090287685, -0.10898673607088775]]","[0.9940159320831299, 0.9944891333580017, 0.9946677088737488]"
2,0.9947791695594788,Solve_Succeeded,MPC,8,"[[0.1257514555095179, -0.2926632455960083], [0.0039873565924595485, -0.1619207876836142], [-0.0033861177291951614, -0.060291671802150976]]","[0.9947348833084106, 0.9949811697006226, 0.9951001405715942]"
3,0.9957550764083862,Solved_To_Acceptable_Level,MPC,20,"[[-0.15340514503288843, -0.10471437265746232], [-0.011125905020981057, -0.017077007671798136], [-0.003732793272898555, 0.006114526030846089]]","[0.9950893521308899, 0.995138943195343, 0.995144248008728]"
4,0.9961309432983398,Solve_Succeeded,MPC,22,"[[-0.18564806835268155, 0.1590312688132549], [-0.012639095336749524, 0.030743750673460708], [-0.004250870371525875, 0.009419685517433314]]","[0.9951647520065308, 0.995116114616394, 0.9950289726257324]"
5,0.996229350566864,Solved_To_Acceptable_Level,MPC,19,"[[-0.18809742904762353, 0.22060967136509607], [-0.015932648064348274, 0.03839903832163969], [-0.002017125219061599, 0.0184723649082514]]","[0.995136022567749, 0.9950742125511169, 0.9950395226478577]"
6,0.99623042345047,Solved_To_Acceptable_Level,MPC,22,"[[-0.19715695024633462, 0.21319265805709203], [-0.013734094300446366, 0.04393212760205531], [-0.003823472178101163, 0.017937119341016855]]","[0.9952523708343506, 0.995238721370697, 0.9952742457389832]"
7,0.9961788058280945,Solve_Succeeded,MPC,20,"[[-0.20047866907402326, 0.199350324784396], [-0.01405154343569348, 0.048666075046363604], [-0.004593499471304103, 0.020845031827806386]]","[0.9953262805938721, 0.9951284527778625, 0.995276927947998]"
8,0.9961797595024109,Solve_Succeeded,MPC,23,"[[-0.19256209438431648, 0.18707866551808527], [-0.014082719746309631, 0.05417272328609764], [-0.004520206303757431, 0.025212332822954486]]","[0.9954630136489868, 0.9953344464302063, 0.9954039454460144]"
9,0.9959099292755127,Solved_To_Acceptable_Level,MPC,16,"[[-0.17409234009705005, 0.17293101486416287], [-0.013561141156121566, 0.06425000344415771], [-0.004691783068565487, 0.029834446486906484]]","[0.9952700138092041, 0.9948835372924805, 0.9952263236045837]"
10,0.9959523677825928,Solve_Succeeded,MPC,17,"[[-0.14813284498783197, 0.15031661542198982], [-0.0122670514518814, 0.07740659499715119], [-0.004897162474224156, 0.039148713847264795]]","[0.995507001876831, 0.9953270554542542, 0.9955088496208191]"
11,0.9954100251197815,Solved_To_Acceptable_Level,MPC,18,"[[-0.11099723890085675, 0.14402005479515093], [-0.010391700822879334, 0.08324167065432704], [-0.004150560680810288, 0.04467578520974001]]","[0.9953790903091431, 0.9952672719955444, 0.995644748210907]"
12,0.9956199526786804,Solve_Succeeded,MPC,13,"[[-0.07809180163648759, 0.14859465688126866], [-0.008371411100059777, 0.09785218635468378], [-0.004178398853226568, 0.04747497798742384]]","[0.9955973029136658, 0.9955717921257019, 0.9957462549209595]"
13,0.9953224062919617,Solve_Succeeded,MPC,11,"[[-0.053229542224032624, 0.15671813425297038], [-0.007954699566655824, 0.09777844047272016], [-0.0038023904380348364, 0.04618345190036155]]","[0.9956921935081482, 0.9955483078956604, 0.9956291317939758]"
14,0.995698094367981,Solve_Succeeded,MPC,9,"[[-0.03792823718735092, 0.15508289678045348], [-0.005863156024754959, 0.09705426756146952], [-0.004653115675354182, 0.046295260169648154]]","[0.9957088232040405, 0.995567798614502, 0.99546879529953]"
15,0.9955440759658813,Solve_Succeeded,MPC,15,"[[-0.02678664226147961, 0.14707875985250865], [-0.005536716954953104, 0.0945251920120097], [-0.004365626438064595, 0.046384917516791385]]","[0.9955505728721619, 0.9953782558441162, 0.9951730966567993]"
