step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9816375970840454,Solved_To_Acceptable_Level,MPC,23,"[[-0.6877227199348384, 0.8757426686940745], [-0.4313832824942079, 0.14010000353954355], [-0.157908312504067, 0.0011187947647522585]]","[0.9781492948532104, 0.9782487154006958, 0.9784713387489319]"
1,0.9781114459037781,Solved_To_Acceptable_Level,MPC,21,"[[-0.5184201081316219, 0.5964231024949341], [-0.22720272480728643, 0.02154433676261094], [-0.031043310971514353, -0.0016009969783674456]]","[0.9776003956794739, 0.9781893491744995, 0.9784310460090637]"
2,0.9777156710624695,Solved_To_Acceptable_Level,MPC,6,"[[-0.22873769626574972, 0.044498255407493116], [-0.03448710398652685, -0.001831899762042269], [-0.0007735963336958832, -0.0038257054121189084]]","[0.9782810807228088, 0.9785770773887634, 0.9787514209747314]"
3,0.9780239462852478,Solve_Succeeded,MPC,11,"[[-0.09743037373615338, 0.049281780140139904], [-0.007252498459936506, -0.0017894506697030807], [0.003680101865150196, -0.00360881430775856]]","[0.978529155254364, 0.9787384271621704, 0.9788728952407837]"
4,0.9785526394844055,Solved_To_Acceptable_Level,MPC,15,"[[-0.21248282466934432, 0.25222984248449304], [-0.026371754352759857, 0.004054106709114452], [0.0001390435813208834, -0.0030041251340558557]]","[0.978549063205719, 0.9788236618041992, 0.9789536595344543]"
5,0.978691041469574,Solved_To_Acceptable_Level,MPC,19,"[[-0.2987565753527222, 0.3473026418292092], [-0.056574794772177854, 0.008423021857157001], [-0.0010503583401005427, -0.0032673490414877227]]","[0.9784660339355469, 0.9788566827774048, 0.9789793491363525]"
6,0.9783431887626648,Solved_To_Acceptable_Level,MPC,17,"[[-0.31858352149040353, 0.3328473868551294], [-0.06315753130655609, 0.006232257766075489], [-0.006513175523308044, -0.002709086658581242]]","[0.9784729480743408, 0.978879451751709, 0.9790100455284119]"
7,0.9782984256744385,Solve_Succeeded,MPC,18,"[[-0.2794254113799068, 0.25731346201197225], [-0.049819442014916095, 0.004886301850128096], [-0.0020353819900080163, -0.0033210024774054736]]","[0.9786202907562256, 0.978934645652771, 0.9790475964546204]"
8,0.9782890677452087,Solve_Succeeded,MPC,14,"[[-0.2066129876030107, 0.17437131868178068], [-0.028447135086824657, 0.002157287710202613], [0.001537384820459856, -0.0033143946601208348]]","[0.9788318872451782, 0.979019045829773, 0.9791201949119568]"
9,0.9785224795341492,Solved_To_Acceptable_Level,MPC,12,"[[-0.12785065849406832, 0.11073740955628572], [-0.011184867708653791, 0.00015655870781997963], [0.0015658993557203375, -0.0032693642373062158]]","[0.9789667129516602, 0.979101836681366, 0.9791887998580933]"
10,0.9787076115608215,Solve_Succeeded,MPC,11,"[[-0.07111238565721656, 0.0669255276766126], [-0.005890979171090405, -0.0012827553061393285], [0.004346166530232349, -0.0035934762152919717]]","[0.9790810942649841, 0.9791884422302246, 0.9792605638504028]"
