step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9945156574249268,Solve_Succeeded,MPC,17,"[[0.8446630925824766, 0.5988947301019665], [0.255676365268925, 0.38322313795501756], [0.007135723932292099, 0.17978895173367512]]","[0.9935975074768066, 0.9935370087623596, 0.9933022856712341]"
1,0.993727445602417,Solved_To_Acceptable_Level,MPC,20,"[[0.6019632429736232, 0.47494799968645934], [0.03293815831602407, 0.2695956739687495], [-0.0024880130871646777, 0.09237718643904709]]","[0.9934183359146118, 0.993060827255249, 0.9927834272384644]"
2,0.9934862852096558,Solved_To_Acceptable_Level,MPC,7,"[[0.06229529343596154, 0.27155667293075725], [-0.0011155739795469374, 0.09495309966636954], [-0.0032246760954018684, 0.009757302125629995]]","[0.9929812550544739, 0.9926106333732605, 0.9923006892204285]"
3,0.9920384287834167,Solved_To_Acceptable_Level,MPC,24,"[[-0.1643995251091279, 0.15457464487437533], [-0.008940915438550143, 0.027094164747175856], [-0.0028972944547055388, 0.0009526639313827952]]","[0.9920809268951416, 0.9917927980422974, 0.991485595703125]"
4,0.9878689646720886,Solved_To_Acceptable_Level,MPC,27,"[[-0.1795723862684723, 0.20332579730207295], [-0.008193829967201338, 0.04765324426269491], [-0.0035652533257261245, 0.004375001574286884]]","[0.9897469282150269, 0.9892739057540894, 0.98870450258255]"
5,0.977155327796936,Solved_To_Acceptable_Level,MPC,28,"[[-0.18287906957517516, 0.26129740179073574], [-0.009295350522602911, 0.09517460559283877], [-0.004352854057772503, 0.01303636708229124]]","[0.9828965067863464, 0.9823060631752014, 0.9810657501220703]"
6,0.9525254964828491,Solved_To_Acceptable_Level,MPC,29,"[[-0.19547896867266867, 0.2966964389126813], [-0.009797666790725253, 0.11108576270416096], [-0.00378655133365006, 0.023144099525305245]]","[0.9656025767326355, 0.9651267528533936, 0.9625674486160278]"
7,0.9102655649185181,Solve_Succeeded,MPC,22,"[[-0.20069952212517436, 0.2731697356965329], [-0.010031026091882467, 0.1099901427735592], [-0.003941037385385969, 0.017809402707333326]]","[0.9285812973976135, 0.9282393455505371, 0.9226836562156677]"
8,0.8595517873764038,Solved_To_Acceptable_Level,MPC,27,"[[-0.1932769214870141, 0.23360150486163409], [-0.0098015533523647, 0.07167525946254882], [-0.00372630630180425, 0.011740716176182992]]","[0.880344808101654, 0.8776988387107849, 0.8715592622756958]"
9,0.8134371042251587,Solve_Succeeded,MPC,23,"[[-0.17482114204708088, 0.15889065248307713], [-0.009506112325435991, 0.03766568440669672], [-0.0038675799967400537, 0.003059753077777884]]","[0.8344997763633728, 0.8291922807693481, 0.8221222758293152]"
10,0.7830811142921448,Solve_Succeeded,MPC,24,"[[-0.14928012160273527, 0.08802726619718533], [-0.008646454812495817, 0.015320630165749206], [-0.003797104256370052, -0.002430140684414208]]","[0.7933204174041748, 0.7855432033538818, 0.7773822546005249]"
11,0.7525970935821533,Solved_To_Acceptable_Level,MPC,15,"[[-0.11122817930159697, 0.041831660591040716], [-0.0070037021638705245, 0.002312921981061547], [-0.003951811134532983, -0.0005465476550830458]]","[0.750966489315033, 0.7314832210540771, 0.7092107534408569]"
12,0.723346471786499,Solve_Succeeded,MPC,10,"[[-0.07829053621401301, 0.025655760121003922], [-0.008343797016520871, 0.008142851133783638], [-0.006536607633648693, 0.009786718089630093]]","[0.7018824815750122, 0.6805641651153564, 0.6597858667373657]"
13,0.6962698698043823,Solve_Succeeded,MPC,9,"[[-0.05877960950784721, 0.028101728490648625], [-0.006998515565156125, 0.008188929770029904], [-0.011019841034085919, 0.007326149234134075]]","[0.6689786314964294, 0.648635983467102, 0.6288831233978271]"
14,0.67449951171875,Solve_Succeeded,MPC,8,"[[-0.04742941072777567, 0.022205654240786892], [-0.011782279448495194, -0.0007441749258460977], [-0.006616092706344565, 0.0005801057491868857]]","[0.6446474194526672, 0.6251159310340881, 0.6061753034591675]"
15,0.6575124263763428,Solved_To_Acceptable_Level,MPC,8,"[[-0.05433133982796418, -0.0025037307158718314], [0.0038253780530423465, -0.003244753849509259], [0.00029173378529797966, -0.004920541729471047]]","[0.6272269487380981, 0.6083338260650635, 0.5899855494499207]"
16,0.6442247033119202,Solve_Succeeded,MPC,7,"[[-0.039692187447697716, -0.011638117716142846], [0.009383118250952456, -0.01131197023878344], [0.008081249302015696, -0.004713053901338547]]","[0.6149242520332336, 0.5965196490287781, 0.5786125063896179]"
17,0.6337280869483948,Solve_Succeeded,MPC,8,"[[-0.04266882355042477, -0.022161995232183648], [0.03516145046097079, -0.006759821892199305], [0.03514876225998168, -0.02845835050010259]]","[0.607908308506012, 0.5897898077964783, 0.5723981261253357]"
18,0.6248891353607178,Solve_Succeeded,MPC,9,"[[-0.022802168319721157, -0.01913040732938353], [0.03718994917014467, -0.007805017358386032], [0.040498901184541136, -0.02722729543866347]]","[0.6005731821060181, 0.5827140808105469, 0.5656468868255615]"
19,0.6268795132637024,Solved_To_Acceptable_Level,MPC,8,"[[-0.05329336975648305, -0.015174446125434978], [0.13588799239194224, -0.07340258821854787], [-0.007059291796179992, 0.019681289284249052]]","[0.6126908659934998, 0.5953842401504517, 0.5777983069419861]"
20,0.6240662932395935,Solve_Succeeded,MPC,12,"[[-0.03641005388644677, -0.017805492454173535], [0.15348004336064192, -0.06950789868503719], [-0.005939263290690952, 0.017825553664058996]]","[0.6116467118263245, 0.5945151448249817, 0.5770888924598694]"
21,0.6551839113235474,Solved_To_Acceptable_Level,MPC,10,"[[-0.0663373494147474, -0.013943814991326225], [0.20585445909925576, -0.11725044963122995], [0.008510737940349669, -0.050182495869785605]]","[0.6523218750953674, 0.6392475366592407, 0.6836081743240356]"
22,0.7129067778587341,Solved_To_Acceptable_Level,MPC,13,"[[-0.08372421193308643, -0.011280568921230055], [0.26485412720451024, -0.13074974817915969], [0.01458207422649471, -0.05662174053459745]]","[0.7191582918167114, 0.7380858659744263, 0.8084190487861633]"
23,0.7928417325019836,Solve_Succeeded,MPC,15,"[[0.01683891960692227, -0.02032421841284459], [0.23861239054133854, -0.14211987903890966], [0.012825576268821396, -0.060248110022142615]]","[0.793140709400177, 0.8294640183448792, 0.8772077560424805]"
24,0.8459958434104919,Solve_Succeeded,MPC,9,"[[0.2360299448194682, -0.1855183273794064], [0.011347924172087603, -0.1158227360592828], [-0.002864732379114352, -0.0575670873139543]]","[0.9224140644073486, 0.9564524292945862, 0.9812939763069153]"
25,0.8716281056404114,fail: Infeasible_Problem_Detected,SAFE_QP,89,"[-0.18995912372604812, -0.7845405465750693]",[-0.10740528255701065]
26,0.8487287163734436,Solve_Succeeded,MPC,12,"[[0.13324670241931647, -0.0353355680620064], [0.004471393096563917, -0.024564391937935217], [-0.003329317479988332, -0.011771874709016654]]","[0.9019992351531982, 0.9549632668495178, 0.961577296257019]"
27,0.9016503095626831,Solved_To_Acceptable_Level,MPC,4,"[[0.017488030624185205, -0.02313747329863563], [-0.002708330243489989, -0.01434938806619304], [-0.004043466416486681, -0.0048976019437546306]]","[0.9474504590034485, 0.969451367855072, 0.9777221083641052]"
28,0.9332520365715027,Solved_To_Acceptable_Level,MPC,11,"[[-0.015503939927556977, -0.03492997788891204], [-0.004117689844622695, -0.02511180857370611], [-0.00362390141545119, -0.014057300880905956]]","[0.9656988978385925, 0.9790791869163513, 0.9851018190383911]"
29,0.956472635269165,Solve_Succeeded,MPC,8,"[[-0.010979765347109257, -0.04956589336121203], [-0.004312053437081964, -0.03857875279510841], [-0.0032005781767158784, -0.015357633546099548]]","[0.9808444976806641, 0.9858983159065247, 0.9913020133972168]"
