step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9490998387336731,Solve_Succeeded,MPC,19,"[[-0.8367951346382689, -0.3692224344734519], [-0.2795130011949555, -0.224382360974541], [-0.008671747892990137, -0.10386178429923601]]","[0.9568989276885986, 0.9602524638175964, 0.9618567228317261]"
1,0.9568350315093994,Solve_Succeeded,MPC,18,"[[-0.6022162524885452, -0.29811004692229864], [-0.037399095922141176, -0.1806588717303062], [0.0019908444336337746, -0.08318569563841918]]","[0.9610723853111267, 0.9633557796478271, 0.9644089341163635]"
2,0.9649152159690857,Solve_Succeeded,MPC,10,"[[-0.06819776382301668, -0.22755452673201992], [0.0007267251429157327, -0.13061474870651368], [0.003421625909403842, -0.05386548061523397]]","[0.9642415642738342, 0.9656177759170532, 0.9662593603134155]"
3,0.9707925915718079,Solve_Succeeded,MPC,9,"[[-0.05015094649684694, -0.13420291378796015], [0.0013905272493170916, -0.07138897034131016], [0.003519853857319816, -0.02672007468346915]]","[0.9670255780220032, 0.9678166508674622, 0.9682923555374146]"
4,0.9736993312835693,Solve_Succeeded,MPC,11,"[[-0.24594881664168627, -0.004292729937359703], [-0.006933275894871432, 0.0028564534331814275], [0.0030397543586222374, 0.0056011463893993535]]","[0.9694173336029053, 0.9696335792541504, 0.9698402881622314]"
5,0.9751828908920288,Solve_Succeeded,MPC,23,"[[-0.3430269668184279, 0.1670851571496637], [-0.012927361053633919, 0.05441768956736185], [0.003091153544496435, 0.025755218134201185]]","[0.9704045653343201, 0.9702174067497253, 0.9703630805015564]"
6,0.9759110808372498,Solved_To_Acceptable_Level,MPC,32,"[[-0.3321797803867106, 0.221769274177915], [-0.012339405435272613, 0.07337375768866863], [0.0029084732311738014, 0.035342272457285134]]","[0.9704557657241821, 0.9702167510986328, 0.9703609347343445]"
7,0.9762775897979736,Solve_Succeeded,MPC,28,"[[-0.26065961437324825, 0.21227187741531242], [-0.008099644968709747, 0.09133068985870332], [0.002989204568389622, 0.044874317908790484]]","[0.9712008237838745, 0.9709344506263733, 0.9710320234298706]"
8,0.9754630327224731,Solved_To_Acceptable_Level,MPC,12,"[[-0.17789564631894014, 0.20017259958907963], [-0.00358054493943015, 0.10518072697567873], [0.0034065761246680325, 0.04845120029034388]]","[0.9720644354820251, 0.9717086553573608, 0.9717864990234375]"
9,0.9750534296035767,Solve_Succeeded,MPC,12,"[[-0.11083920298017938, 0.19679675313127884], [-0.0012070036225102286, 0.12460174310547943], [0.003432793963969458, 0.0618115136231154]]","[0.9723916053771973, 0.9718095064163208, 0.9716841578483582]"
10,0.9746094942092896,Solve_Succeeded,MPC,11,"[[-0.06726381674315687, 0.20480255140403847], [0.0005789081277894731, 0.13244329189625392], [0.0035281394582055317, 0.06489822989153171]]","[0.972216010093689, 0.9715293645858765, 0.9714867472648621]"
11,0.9741097092628479,Solved_To_Acceptable_Level,MPC,8,"[[-0.03591187655462947, 0.20895894582662097], [-0.0012007335852272716, 0.13680122585336413], [0.005346735031156538, 0.0685770698932031]]","[0.9717119336128235, 0.971104621887207, 0.9708552956581116]"
12,0.9732853770256042,Solved_To_Acceptable_Level,MPC,7,"[[-0.016492217316840217, 0.20822663409861658], [0.003180058535827418, 0.12753356684102585], [0.0038675268975758323, 0.058034837902694834]]","[0.9710995554924011, 0.9703050255775452, 0.9700353145599365]"
13,0.9722548723220825,Solved_To_Acceptable_Level,MPC,9,"[[0.0012356909970269406, 0.19655094146406563], [0.003662938307616025, 0.12439844321071934], [0.004304633089793026, 0.05942094349313615]]","[0.970116138458252, 0.9691848158836365, 0.9688881635665894]"
14,0.9713467955589294,Solved_To_Acceptable_Level,MPC,10,"[[0.012532466277968344, 0.1800292038334153], [0.003958994611970213, 0.11131171948061568], [0.003432331774083608, 0.05447729184936849]]","[0.9690045118331909, 0.9682084918022156, 0.9679617285728455]"
15,0.9703475832939148,Solved_To_Acceptable_Level,MPC,11,"[[0.01923183192724366, 0.1738872273861527], [0.0035968227524500484, 0.10152829912760036], [0.003952824925216765, 0.039991303221540035]]","[0.9679083228111267, 0.9671375155448914, 0.9668887853622437]"
16,0.9691523313522339,Solve_Succeeded,MPC,14,"[[0.022514659164497252, 0.14745398426393913], [0.004225614761736197, 0.09178538208517177], [0.0036315821389059826, 0.04347107499667806]]","[0.9669559001922607, 0.966141939163208, 0.9657803177833557]"
17,0.9681665897369385,Solved_To_Acceptable_Level,MPC,12,"[[0.023662233083131978, 0.13326067304168016], [0.0031501159370479685, 0.08207222193408818], [0.0053934022787711245, 0.03818178770128884]]","[0.9659666419029236, 0.9651181697845459, 0.9647303819656372]"
