episode,step,agent_id,cbf_value,margin_violation,grad_x,grad_y,grad_vx,grad_vy,drift_term,control_coeff_x,control_coeff_y
1,0,0,0.9267452359199524,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,3,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,4,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,5,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0.9378094673156738,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
1,1,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
1,1,3,0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
1,1,4,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,0.9523963928222656,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
1,2,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
1,2,3,0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
1,2,4,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,5,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0,0.9599860310554504,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
1,3,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,2,0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
1,3,3,0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
1,3,4,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,5,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0,0.9613302946090698,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
1,4,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
