episode,step,obstacle_id,pos_x,pos_y,type
1,0,0,-499999.5,2.0,static
1,0,1,-490392.1402016152,-97543.16100806398,static
1,0,2,-461939.2662556434,-191339.71618254503,static
1,0,3,-415734.3061512725,-277783.1165098013,static
1,0,4,-353552.89059327374,-353551.39059327374,static
1,0,5,-277784.6165098011,-415732.80615127244,static
1,0,6,-191341.21618254486,-461937.76625564345,static
1,0,7,-97544.6610080641,-490390.6402016152,static
1,0,8,0.49999999994448885,-499998.0,static
1,0,9,97545.6610080641,-490390.6402016152,static
1,0,10,191342.2161825448,-461937.76625564345,static
1,0,11,277785.61650980107,-415732.80615127267,static
1,0,12,353553.89059327374,-353551.390593274,static
1,0,13,415735.30615127244,-277783.1165098013,static
1,0,14,461940.2662556434,-191339.7161825448,static
1,0,15,490393.1402016152,-97543.16100806421,static
1,0,16,500000.5,1.9999999997779554,static
1,0,17,490393.1402016152,97547.16100806398,static
1,0,18,461940.26625564345,191343.7161825448,static
1,0,19,415735.30615127267,277787.11650980107,static
1,0,20,353553.89059327386,353555.3905932735,static
1,0,21,277785.6165098013,415736.80615127244,static
1,0,22,191342.21618254491,461941.76625564345,static
1,0,23,97545.66100806421,490394.6402016152,static
1,0,24,0.5000000003330669,500002.0,static
1,0,25,-97544.66100806388,490394.6402016152,static
1,0,26,-191341.21618254454,461941.76625564345,static
1,0,27,-277784.61650980095,415736.8061512729,static
1,0,28,-353552.89059327357,353555.390593274,static
1,0,29,-415734.3061512725,277787.11650980107,static
1,0,30,-461939.2662556433,191343.71618254526,static
1,0,31,-490392.1402016152,97547.16100806443,static
1,0,32,-499998.0,0.49999999994448885,static
1,0,33,-490390.6402016152,-97544.6610080641,static
1,0,34,-461937.76625564345,-191341.21618254491,static
1,0,35,-415732.80615127244,-277784.61650980124,static
1,0,36,-353551.39059327374,-353552.8905932738,static
1,0,37,-277783.11650980107,-415734.30615127255,static
1,0,38,-191339.7161825448,-461939.2662556434,static
1,0,39,-97543.16100806398,-490392.1402016152,static
1,0,40,2.0,-499999.5,static
1,0,41,97547.16100806398,-490392.1402016152,static
1,0,42,191343.7161825448,-461939.26625564345,static
1,0,43,277787.11650980107,-415734.3061512726,static
1,0,44,353555.3905932735,-353552.89059327386,static
1,0,45,415736.80615127244,-277784.61650980124,static
1,0,46,461941.76625564345,-191341.21618254491,static
1,0,47,490394.6402016152,-97544.66100806421,static
1,0,48,500002.0,0.4999999998889777,static
1,0,49,490394.6402016152,97545.66100806398,static
1,0,50,461941.76625564345,191342.2161825447,static
1,0,51,415736.80615127244,277785.61650980107,static
1,0,52,353555.390593274,353553.89059327374,static
1,0,53,277787.11650980153,415735.30615127244,static
1,0,54,191343.7161825448,461940.2662556434,static
1,0,55,97547.16100806443,490393.1402016152,static
1,0,56,2.000000000444089,500000.5,static
1,0,57,-97543.16100806398,490393.1402016152,static
1,0,58,-191339.7161825446,461940.26625564345,static
1,0,59,-277783.11650980107,415735.30615127267,static
1,0,60,-353551.3905932735,353553.890593274,static
1,0,61,-415732.80615127244,277785.6165098013,static
1,0,62,-461937.7662556433,191342.21618254515,static
1,0,63,-490390.6402016152,97545.66100806431,static
1,1,0,-499999.5,2.0,static
1,1,1,-490392.1402016152,-97543.16100806398,static
1,1,2,-461939.2662556434,-191339.71618254503,static
1,1,3,-415734.3061512725,-277783.1165098013,static
1,1,4,-353552.89059327374,-353551.39059327374,static
1,1,5,-277784.6165098011,-415732.80615127244,static
1,1,6,-191341.21618254486,-461937.76625564345,static
1,1,7,-97544.6610080641,-490390.6402016152,static
1,1,8,0.49999999994448885,-499998.0,static
1,1,9,97545.6610080641,-490390.6402016152,static
1,1,10,191342.2161825448,-461937.76625564345,static
1,1,11,277785.61650980107,-415732.80615127267,static
1,1,12,353553.89059327374,-353551.390593274,static
1,1,13,415735.30615127244,-277783.1165098013,static
1,1,14,461940.2662556434,-191339.7161825448,static
