step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9910051822662354,Solved_To_Acceptable_Level,MPC,17,"[[0.766773302234599, 0.8905645776716871], [0.41719870096563655, 0.0714500441055358], [0.04441985694526696, -0.0014338247561601729]]","[0.9921866655349731, 0.9926305413246155, 0.9926517009735107]"
1,0.9921961426734924,Solved_To_Acceptable_Level,MPC,22,"[[0.5791604235463028, 0.5952901931184822], [0.11566610291609895, 0.016087522652664343], [0.004045162305306235, -0.003109648485073266]]","[0.9924103021621704, 0.9924407601356506, 0.9924020767211914]"
2,0.9929530620574951,Solved_To_Acceptable_Level,MPC,7,"[[0.13960494257241834, 0.037509466055620895], [0.005863947584961323, -0.001728428120248397], [-0.003994737120475034, -0.002987841924638956]]","[0.9924144148826599, 0.9923739433288574, 0.9923275113105774]"
3,0.9935227036476135,Solved_To_Acceptable_Level,MPC,24,"[[-0.15014126421122687, 0.048999546181078525], [-0.010324065948543336, -0.001956464775179064], [-0.005360286018545134, -0.003666727690871422]]","[0.9923283457756042, 0.9922784566879272, 0.9922307729721069]"
4,0.9937753081321716,Solved_To_Acceptable_Level,MPC,23,"[[-0.18650841171540625, 0.25519812571900724], [-0.014673623242400227, 0.0030074688270450554], [-0.0026372029583510374, -0.003263797031316007]]","[0.9922269582748413, 0.9921697974205017, 0.992120623588562]"
5,0.9937270283699036,Solved_To_Acceptable_Level,MPC,20,"[[-0.18990391075571064, 0.34855294143524085], [-0.014161223716334893, 0.00651569368157981], [-0.004400087964191187, -0.0037629264292537786]]","[0.9921284914016724, 0.9920651912689209, 0.992009699344635]"
6,0.9934946298599243,Solved_To_Acceptable_Level,MPC,20,"[[-0.1974320455480787, 0.33175630832545877], [-0.014392981213699045, 0.005738850984316256], [-0.00561770461235822, -0.003319544844569166]]","[0.9920093417167664, 0.9919410943984985, 0.9918800592422485]"
7,0.9932178258895874,Solve_Succeeded,MPC,22,"[[-0.20014867762518712, 0.25739904286319687], [-0.01523918077154549, 0.0033712707572783485], [-0.004097360600100921, -0.003365874480813092]]","[0.9918832778930664, 0.9918121695518494, 0.9917474985122681]"
8,0.9928871989250183,Solve_Succeeded,MPC,22,"[[-0.19244167885985064, 0.17385746098029886], [-0.014841377686071229, 0.001156186782138112], [-0.004476318120786885, -0.0036746895784863184]]","[0.9917668700218201, 0.9916902780532837, 0.9916157722473145]"
9,0.9925815463066101,Solve_Succeeded,MPC,33,"[[-0.17430992676934517, 0.10990230162841799], [-0.014292794732927518, -0.0005331773240586945], [-0.004669346317283547, -0.0035365222083507436]]","[0.9916678071022034, 0.9915856122970581, 0.9914913773536682]"
