step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9958429932594299,Solved_To_Acceptable_Level,MPC,24,"[[0.882103414657871, 0.7692445296405566], [0.11170399833382536, 0.4130673291957588], [-0.0009059376769899326, 0.042268004700134455]]","[0.9955255389213562, 0.9952083826065063, 0.9951325058937073]"
1,0.9955264925956726,Solve_Succeeded,MPC,26,"[[0.5947652126396762, 0.5780250303757101], [0.020135017553846876, 0.1147764498210197], [-0.003203947506397964, 0.003962432288683181]]","[0.9952747821807861, 0.9951291084289551, 0.9951058626174927]"
2,0.9955785274505615,Solve_Succeeded,MPC,8,"[[0.04192004006475266, 0.1377767412183867], [-0.0021883207083740136, 0.00590384599810585], [-0.0036876852888859425, -0.0037847065385558684]]","[0.9950668215751648, 0.9950444102287292, 0.9950307607650757]"
3,0.9957767128944397,Solved_To_Acceptable_Level,MPC,23,"[[-0.16639986002653664, 0.061215057710820205], [-0.007997022942610782, 8.266901716803947e-05], [-0.0041838491336661, -0.004511781689919459]]","[0.9949796199798584, 0.9949537515640259, 0.9949324727058411]"
4,0.9960071444511414,Solve_Succeeded,MPC,24,"[[-0.17637424461867285, 0.2298538878085097], [-0.007566869854890193, 0.01386365324779914], [-0.003723764518680875, -0.0028025638215960886]]","[0.9949992895126343, 0.9949445724487305, 0.9949002861976624]"
5,0.9960294961929321,Solved_To_Acceptable_Level,MPC,40,"[[-0.18128047629656563, 0.3303728783176241], [-0.0073753613265354016, 0.026563489874644377], [-0.0038858881417899805, -0.0023799963567456483]]","[0.995015561580658, 0.9949133992195129, 0.9948033690452576]"
6,0.9959012269973755,Solve_Succeeded,MPC,24,"[[-0.19492360283331425, 0.33009438867897994], [-0.008166594993622754, 0.02660327658486344], [-0.0038060039837451314, -0.0016934036898830546]]","[0.9949352145195007, 0.9947368502616882, 0.9944151639938354]"
7,0.9956797957420349,Solve_Succeeded,MPC,29,"[[-0.2009639585097396, 0.2679634449284342], [-0.00817896264845818, 0.019219563569173842], [-0.0038065548127582264, -0.0028711839322008307]]","[0.9946160912513733, 0.9940285682678223, 0.9917981028556824]"
8,0.9950171709060669,Solve_Succeeded,MPC,24,"[[-0.19338619374669885, 0.18510495957575984], [-0.00824914928914461, 0.010523107107182756], [-0.003739034272117728, -0.00331086979335363]]","[0.992702841758728, 0.9899571537971497, 0.9799611568450928]"
9,0.9937902688980103,Solved_To_Acceptable_Level,MPC,33,"[[-0.17443995010566124, 0.0914931300185437], [0.013927220102981966, -0.20692576990602787], [-0.16240710723312396, 0.26282773390359637]]","[0.9869998693466187, 0.971619188785553, 0.94134920835495]"
