episode,step,agent_id,pos_x,pos_y,vel_x,vel_y,goal_x,goal_y,goal_vel_x,goal_vel_y
1,0,0,0.5,2.0,0.0,0.0,5.0,6.5,0.0,0.0
1,0,1,2.0,0.5,0.0,0.0,6.5,5.0,0.0,0.0
1,1,0,0.5,2.0,0.3,0.3,5.0,6.5,0.0,0.0
1,1,1,2.0,0.5,0.3,0.3,6.5,5.0,0.0,0.0
1,2,0,0.509,2.009,0.49999999999957867,0.5000000000002457,5.0,6.5,0.0,0.0
1,2,1,2.009,0.509,0.49999999999957867,0.5000000000002457,6.5,5.0,0.0,0.0
1,3,0,0.5239999999999874,2.024000000000007,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,3,1,2.023999999999987,0.5240000000000073,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,4,0,0.5389999999999479,2.0390000000000303,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,4,1,2.0389999999999477,0.5390000000000305,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,5,0,0.5539999999999083,2.0540000000000536,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,5,1,2.0539999999999083,0.5540000000000536,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,6,0,0.5689999999998688,2.0690000000000768,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,6,1,2.068999999999869,0.5690000000000767,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,7,0,0.5839999999998293,2.0840000000001,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,7,1,2.0839999999998295,0.5840000000000998,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,8,0,0.5989999999997898,2.099000000000123,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,8,1,2.09899999999979,0.5990000000001229,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,9,0,0.6139999999997503,2.1140000000001464,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,9,1,2.1139999999997507,0.614000000000146,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,10,0,0.6289999999997108,2.1290000000001696,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,10,1,2.1289999999997113,0.6290000000001691,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,11,0,0.6439999999996713,2.144000000000193,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,11,1,2.143999999999672,0.6440000000001922,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,12,0,0.6589999999996318,2.159000000000216,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,12,1,2.1589999999996325,0.6590000000002153,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,13,0,0.6739999999995923,2.1740000000002393,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,13,1,2.173999999999593,0.6740000000002384,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,14,0,0.6889999999995527,2.1890000000002625,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,14,1,2.1889999999995537,0.6890000000002615,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,15,0,0.7039999999995132,2.2040000000002857,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,15,1,2.2039999999995143,0.7040000000002846,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,16,0,0.7189999999994737,2.219000000000309,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,16,1,2.218999999999475,0.7190000000003077,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,17,0,0.7339999999994342,2.234000000000332,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,17,1,2.2339999999994355,0.7340000000003308,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,18,0,0.7489999999993947,2.2490000000003554,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
1,18,1,2.248999999999396,0.7490000000003539,0.4999999999986847,0.5000000000007693,6.5,5.0,0.0,0.0
1,19,0,0.7639999999993552,2.2640000000003786,0.4999999999986847,0.5000000000007693,5.0,6.5,0.0,0.0
