step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9808311462402344,Solve_Succeeded,MPC,18,"[[-0.8218874694691682, 0.8386786947254298], [-0.3187233574651362, 0.27357935436302594], [-0.013886373955023018, 0.008587884193172737]]","[0.9758653044700623, 0.9746524095535278, 0.9746101498603821]"
1,0.975864589214325,Solve_Succeeded,MPC,18,"[[-0.6023295557358272, 0.6022072641597594], [-0.04674015357759685, 0.035923482466840816], [0.0014032917874890927, -0.0019086786467143071]]","[0.9739735722541809, 0.9739729762077332, 0.9739883542060852]"
2,0.9745456576347351,Solved_To_Acceptable_Level,MPC,6,"[[-0.07918058804408958, 0.06731363051590902], [0.0005904138253856395, -0.0010030237181243185], [0.004833004505508257, -0.004094861374495374]]","[0.9738304018974304, 0.9738458395004272, 0.973865270614624]"
3,0.9756289720535278,Solved_To_Acceptable_Level,MPC,6,"[[-0.0508291975648658, 0.050178816025312274], [0.0020235562511194175, -0.001640808461018758], [0.00528256461002928, -0.004283964882226946]]","[0.9738421440124512, 0.9738579392433167, 0.9738776683807373]"
4,0.9766943454742432,Solved_To_Acceptable_Level,MPC,10,"[[-0.24315449411355414, 0.24559154118471285], [-0.008406120957463549, 0.006790642156539804], [0.0027635211945199866, -0.003019377994152585]]","[0.9738783836364746, 0.9738844633102417, 0.973903477191925]"
5,0.9767027497291565,Solve_Succeeded,MPC,17,"[[-0.34115311142244237, 0.34323589680548966], [-0.01504831778781643, 0.012551318697028553], [0.0028425139003237744, -0.0029668635754938116]]","[0.9739072918891907, 0.9739077091217041, 0.9739273190498352]"
6,0.9759571552276611,Solve_Succeeded,MPC,17,"[[-0.3319066395250997, 0.3319308578656526], [-0.014804774741630883, 0.012196256478613011], [0.0031457826240040188, -0.0028657131965479426]]","[0.973909854888916, 0.9739108085632324, 0.9739292860031128]"
7,0.9750391840934753,Solved_To_Acceptable_Level,MPC,10,"[[-0.26171816997091657, 0.2606089129582617], [-0.010200520004525275, 0.008132217779147433], [0.0025755938465191553, -0.002998791900851549]]","[0.9739003777503967, 0.9739039540290833, 0.9739235043525696]"
8,0.9741675853729248,Solved_To_Acceptable_Level,MPC,9,"[[-0.17864387555701725, 0.1774908149463808], [-0.004874181624495848, 0.003771706851504654], [0.0031729723925103996, -0.0034410706551973396]]","[0.9738942384719849, 0.973903477191925, 0.973923921585083]"
9,0.9740751385688782,Solve_Succeeded,MPC,9,"[[-0.11208252555306868, 0.11108297992561035], [-0.00199454123324246, 0.0011671234105766072], [0.003698003191458623, -0.0032646784272225074]]","[0.9738984704017639, 0.9739120006561279, 0.9739320874214172]"
