step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9958429932594299,Solve_Succeeded,MPC,7,"[[0.8921522463593063, 0.792147711309837], [0.13347112193502136, 0.46837227359773953], [2.565724274809794e-09, 0.023731176401142043]]","[0.9955131411552429, 0.9951099157333374, 0.9950582385063171]"
1,0.9955139756202698,Solve_Succeeded,MPC,5,"[[0.6825078802326047, 0.6275735529586168], [1.281230208633878e-05, 0.18580858461439015], [3.144990380763824e-08, -2.4243958620175197e-06]]","[0.9952712059020996, 0.9950219988822937, 0.9950052499771118]"
2,0.9952138066291809,Solve_Succeeded,MPC,4,"[[0.2163889107689422, 0.3420026898645523], [9.87500915417518e-07, 0.002335067834204545], [-3.5483723427902005e-09, -4.839307253606973e-05]]","[0.9949843287467957, 0.9949665665626526, 0.9949479103088379]"
3,0.9949633479118347,Solve_Succeeded,MPC,6,"[[0.574646738750434, 0.4791407687903433], [4.42284194125485e-07, 0.019996885727094724], [-6.055025929168597e-08, -2.5785549649282926e-07]]","[0.994979739189148, 0.9949319362640381, 0.9949089288711548]"
4,0.9949514269828796,Solve_Succeeded,MPC,5,"[[0.2731322816653816, 0.3598305169098531], [1.5780198299791309e-07, 0.0011855304455725526], [-1.0668720558740828e-07, 4.098442578720506e-07]]","[0.9949529767036438, 0.9949260950088501, 0.9948844909667969]"
5,0.9949290752410889,Solve_Succeeded,MPC,6,"[[0.5313889804476317, 0.4532071151813205], [3.393540949822902e-07, 0.017577257620068076], [-5.487709748453873e-08, -2.467360272480993e-07]]","[0.9949206113815308, 0.9948439002037048, 0.9947523474693298]"
6,0.9949032068252563,Solve_Succeeded,MPC,5,"[[0.31676958757088014, 0.38033560009739426], [3.9502336131061684e-07, 0.005365365831197403], [-2.0940819842276552e-07, 3.021221632925688e-07]]","[0.9948573708534241, 0.9947357773780823, 0.9944301247596741]"
7,0.994864821434021,Solve_Succeeded,MPC,6,"[[0.4999756566774803, 0.4337726296824708], [2.7819867438701406e-07, 0.019875375014983435], [-5.018023938941433e-08, -2.028689373052632e-07]]","[0.9947705268859863, 0.9945343732833862, 0.9939700961112976]"
8,0.9947943091392517,Solve_Succeeded,MPC,6,"[[0.3468991610585072, 0.3963415615353177], [8.927223345680817e-08, 0.005966487076607761], [-3.495001041487034e-08, -2.3339717523825082e-07]]","[0.9945114254951477, 0.9939943552017212, 0.9924724698066711]"
9,0.9945244193077087,Solve_Succeeded,MPC,6,"[[0.47722591877013104, 0.4164335994723812], [2.379069661688225e-07, 0.024681590858698997], [-4.592842434207619e-08, -1.4947089933083236e-07]]","[0.9939382076263428, 0.992662250995636, 0.9891658425331116]"
